"DWV","DW","round","Dogs.with.collars","Dogs.without.collars","month_vax","year_vax","Dogs_vax"
"kilwa_chumo_chumo","kilwa_chumo",3,5,2,55,2014,13
"kilwa_chumo_chumo","kilwa_chumo",4,15,5,69,2015,18
"kilwa_chumo_hongwe","kilwa_chumo",3,3,0,55,2014,22
"kilwa_chumo_hongwe","kilwa_chumo",4,7,2,69,2015,10
"kilwa_chumo_hongwe","kilwa_chumo",5,9,1,NA,NA,NA
"kilwa_chumo_ingirito","kilwa_chumo",3,6,2,55,2014,19
"kilwa_chumo_ingirito","kilwa_chumo",4,8,3,69,2015,23
"kilwa_chumo_ingirito","kilwa_chumo",5,7,1,NA,NA,NA
"kilwa_chumo_kinywanyubugo","kilwa_chumo",3,4,1,55,2014,14
"kilwa_chumo_kinywanyubugo","kilwa_chumo",4,8,3,69,2015,10
"kilwa_chumo_kinywanyubugo","kilwa_chumo",5,7,1,NA,NA,NA
"kilwa_chumo_nahama","kilwa_chumo",3,3,1,55,2014,25
"kilwa_chumo_nahama","kilwa_chumo",4,6,1,69,2015,14
"kilwa_chumo_nahama","kilwa_chumo",5,8,1,83,2016,13
"kilwa_chumo_namayuni","kilwa_chumo",3,4,1,55,2014,19
"kilwa_chumo_namayuni","kilwa_chumo",4,7,2,69,2015,9
"kilwa_chumo_namayuni","kilwa_chumo",5,10,2,83,2016,88
"kilwa_chumo_ngorongoro","kilwa_chumo",3,3,0,55,2014,16
"kilwa_chumo_ngorongoro","kilwa_chumo",4,4,1,69,2015,12
"kilwa_kandawale_kandawale","kilwa_kandawale",3,3,0,55,2014,28
"kilwa_kandawale_kandawale","kilwa_kandawale",5,19,0,83,2016,23
"kilwa_kandawale_mtumbeimpopera","kilwa_kandawale",3,0,3,55,2014,26
"kilwa_kandawale_mtumbeimpopera","kilwa_kandawale",4,14,4,69,2015,33
"kilwa_kandawale_namatewa","kilwa_kandawale",3,7,3,55,2014,24
"kilwa_kandawale_namatewa","kilwa_kandawale",5,0,0,NA,NA,NA
"kilwa_kandawale_ngarambi","kilwa_kandawale",3,2,0,55,2014,29
"kilwa_kibata_hanga","kilwa_kibata",3,8,6,55,2014,34
"kilwa_kibata_hanga","kilwa_kibata",5,11,3,83,2016,14
"kilwa_kibata_kibata","kilwa_kibata",3,7,2,55,2014,17
"kilwa_kibata_kibata","kilwa_kibata",5,11,2,83,2016,40
"kilwa_kibata_mtende","kilwa_kibata",3,3,4,55,2014,14
"kilwa_kibata_mtende","kilwa_kibata",5,11,1,83,2016,36
"kilwa_kibata_mwengei","kilwa_kibata",3,1,3,55,2014,12
"kilwa_kibata_mwengei","kilwa_kibata",5,7,2,83,2016,26
"kilwa_kikole_kikole","kilwa_kikole",3,0,0,55,2014,24
"kilwa_kikole_kikole","kilwa_kikole",4,10,3,69,2015,7
"kilwa_kikole_kisangi","kilwa_kikole",3,5,2,55,2014,15
"kilwa_kikole_kisangi","kilwa_kikole",4,1,1,69,2015,8
"kilwa_kikole_migeregere","kilwa_kikole",3,1,0,55,2014,6
"kilwa_kikole_migeregere","kilwa_kikole",4,7,2,69,2015,7
"kilwa_kikole_ruhatwe","kilwa_kikole",3,1,0,55,2014,13
"kilwa_kikole_ruhatwe","kilwa_kikole",4,16,4,69,2015,16
"kilwa_kikole_ruhatwe","kilwa_kikole",5,5,3,83,2016,7
"kilwa_kinjumbi_marendego","kilwa_kinjumbi",4,8,6,69,2015,53
"kilwa_kinjumbi_marendego","kilwa_kinjumbi",5,4,1,83,2016,47
"kilwa_kinjumbi_miumbu","kilwa_kinjumbi",5,11,7,83,2016,11
"kilwa_kinjumbi_somangandumbo","kilwa_kinjumbi",4,9,3,69,2015,57
"kilwa_kinjumbi_somangandumbo","kilwa_kinjumbi",5,0,22,NA,NA,NA
"kilwa_kinjumbi_somangasimu","kilwa_kinjumbi",5,35,15,83,2016,95
"kilwa_kipatimu_darajani","kilwa_kipatimu",3,3,1,55,2014,10
"kilwa_kipatimu_kipatimu","kilwa_kipatimu",3,17,5,55,2014,24
"kilwa_kipatimu_mtondokimwaga","kilwa_kipatimu",3,5,3,55,2014,14
"kilwa_kipatimu_mtondokimwaga","kilwa_kipatimu",5,7,2,83,2016,27
"kilwa_kipatimu_nandembo","kilwa_kipatimu",3,1,2,55,2014,21
"kilwa_kipatimu_nandete","kilwa_kipatimu",3,7,9,55,2014,39
"kilwa_kiranjeranje_kiranjeranje","kilwa_kiranjeranje",3,12,2,55,2014,114
"kilwa_kiranjeranje_kiranjeranje","kilwa_kiranjeranje",4,12,2,69,2015,158
"kilwa_kiranjeranje_kiswele","kilwa_kiranjeranje",3,2,0,55,2014,12
"kilwa_kiranjeranje_makangaga","kilwa_kiranjeranje",4,10,4,69,2015,69
"kilwa_kiranjeranje_mbwemkuru","kilwa_kiranjeranje",3,11,7,55,2014,68
"kilwa_kiranjeranje_mbwemkuru","kilwa_kiranjeranje",4,2,1,69,2015,172
"kilwa_kiranjeranje_mirumba","kilwa_kiranjeranje",3,6,3,55,2014,12
"kilwa_kiranjeranje_mirumba","kilwa_kiranjeranje",4,7,3,69,2015,15
"kilwa_kiranjeranje_mirumba","kilwa_kiranjeranje",5,7,1,83,2016,50
"kilwa_kiranjeranje_mtandi","kilwa_kiranjeranje",3,5,2,55,2014,39
"kilwa_kiranjeranje_mtandi","kilwa_kiranjeranje",4,6,3,69,2015,42
"kilwa_kivinjesingino_magengeni","kilwa_kivinjesingino",3,1,2,55,2014,16
"kilwa_kivinjesingino_magengeni","kilwa_kivinjesingino",5,2,0,83,2016,12
"kilwa_kivinjesingino_matandu","kilwa_kivinjesingino",3,7,2,55,2014,39
"kilwa_kivinjesingino_matandu","kilwa_kivinjesingino",4,2,1,69,2015,54
"kilwa_kivinjesingino_matandu","kilwa_kivinjesingino",5,4,1,83,2016,70
"kilwa_kivinjesingino_mgongeni","kilwa_kivinjesingino",3,1,3,55,2014,21
"kilwa_kivinjesingino_mgongeni","kilwa_kivinjesingino",5,7,3,83,2016,11
"kilwa_kivinjesingino_nangurukuru","kilwa_kivinjesingino",3,0,1,55,2014,13
"kilwa_kivinjesingino_singino","kilwa_kivinjesingino",3,1,3,55,2014,24
"kilwa_lihimalyao_kisongo","kilwa_lihimalyao",3,6,2,55,2014,40
"kilwa_lihimalyao_kisongo","kilwa_lihimalyao",5,0,1,83,2016,15
"kilwa_lihimalyao_lihimalyaokaskazini","kilwa_lihimalyao",3,5,9,55,2014,10
"kilwa_lihimalyao_lihimalyaokaskazini","kilwa_lihimalyao",5,1,2,83,2016,1
"kilwa_lihimalyao_lihmalyokusini","kilwa_lihimalyao",3,11,11,55,2014,22
"kilwa_lihimalyao_lihmalyokusini","kilwa_lihimalyao",5,5,0,83,2016,7
"kilwa_lihimalyao_namakongo","kilwa_lihimalyao",3,9,12,NA,NA,NA
"kilwa_lihimalyao_namakongo","kilwa_lihimalyao",5,5,0,83,2016,28
"kilwa_lihimalyao_rushungi","kilwa_lihimalyao",3,8,3,55,2014,9
"kilwa_lihimalyao_rushungi","kilwa_lihimalyao",5,7,3,83,2016,32
"kilwa_lihimalyao_ruyaya","kilwa_lihimalyao",3,1,0,55,2014,21
"kilwa_lihimalyao_ruyaya","kilwa_lihimalyao",5,1,1,83,2016,1
"kilwa_likawage_likawage","kilwa_likawage",3,3,7,55,2014,23
"kilwa_likawage_likawage","kilwa_likawage",4,5,4,69,2015,6
"kilwa_likawage_liwiti","kilwa_likawage",3,1,0,55,2014,19
