"Correct_Village","DW","month","year","round","Dogs"
"kilwa_chumo_chumo","kilwa_chumo",14,2011,1,16
"kilwa_chumo_kinywanyubugo","kilwa_chumo",14,2011,1,2
"kilwa_chumo_namayuni","kilwa_chumo",14,2011,1,7
"kilwa_chumo_ngorongoro","kilwa_chumo",14,2011,1,15
"kilwa_kandawale_kandawale","kilwa_kandawale",14,2011,1,29
"kilwa_kandawale_namatewa","kilwa_kandawale",14,2011,1,2
"kilwa_kikole_kikole","kilwa_kikole",14,2011,1,4
"kilwa_kikole_ruhatwe","kilwa_kikole",14,2011,1,2
"kilwa_kinjumbi_kinjumbi","kilwa_kinjumbi",14,2011,1,43
"kilwa_kinjumbi_marendego","kilwa_kinjumbi",14,2011,1,32
"kilwa_kinjumbi_miumbu","kilwa_kinjumbi",14,2011,1,12
"kilwa_kinjumbi_mtyalambu","kilwa_kinjumbi",14,2011,1,4
"kilwa_kinjumbi_pungutini","kilwa_kinjumbi",14,2011,1,16
"kilwa_kinjumbi_somangandumbo","kilwa_kinjumbi",14,2011,1,39
"kilwa_kinjumbi_somangasimu","kilwa_kinjumbi",14,2011,1,25
"kilwa_kipatimu_darajani","kilwa_kipatimu",14,2011,1,5
"kilwa_kipatimu_kipatimu","kilwa_kipatimu",14,2011,1,22
"kilwa_kipatimu_mtondokimwaga","kilwa_kipatimu",14,2011,1,7
"kilwa_kipatimu_nandembo","kilwa_kipatimu",14,2011,1,1
"kilwa_kipatimu_nandete","kilwa_kipatimu",14,2011,1,3
"kilwa_kiranjeranje_kiranjeranje","kilwa_kiranjeranje",14,2011,1,75
"kilwa_kiranjeranje_kiswele","kilwa_kiranjeranje",14,2011,1,17
"kilwa_kiranjeranje_makangaga","kilwa_kiranjeranje",14,2011,1,37
"kilwa_kiranjeranje_mbwemkuru","kilwa_kiranjeranje",14,2011,1,84
"kilwa_kiranjeranje_mirumba","kilwa_kiranjeranje",14,2011,1,20
"kilwa_kiranjeranje_mtandi","kilwa_kiranjeranje",14,2011,1,30
"kilwa_kivinjesingino_magengeni","kilwa_kivinjesingino",14,2011,1,17
"kilwa_kivinjesingino_matandu","kilwa_kivinjesingino",14,2011,1,26
"kilwa_kivinjesingino_mgongeni","kilwa_kivinjesingino",14,2011,1,28
"kilwa_kivinjesingino_nangurukuru","kilwa_kivinjesingino",14,2011,1,34
"kilwa_kivinjesingino_singino","kilwa_kivinjesingino",14,2011,1,15
"kilwa_lihimalyao_lihimalyaokaskazini","kilwa_lihimalyao",14,2011,1,14
"kilwa_lihimalyao_lihmalyokusini","kilwa_lihimalyao",14,2011,1,3
"kilwa_lihimalyao_namakongo","kilwa_lihimalyao",14,2011,1,9
"kilwa_lihimalyao_rushungi","kilwa_lihimalyao",14,2011,1,18
"kilwa_lihimalyao_ruyaya","kilwa_lihimalyao",14,2011,1,2
"kilwa_likawage_likawage","kilwa_likawage",14,2011,1,6
"kilwa_likawage_liwiti","kilwa_likawage",14,2011,1,2
"kilwa_mandawa_hotelitatu","kilwa_mandawa",14,2011,1,19
"kilwa_mandawa_kiwawa","kilwa_mandawa",14,2011,1,31
"kilwa_mandawa_mandawa","kilwa_mandawa",14,2011,1,18
"kilwa_mandawa_mavuji","kilwa_mandawa",14,2011,1,16
"kilwa_mandawa_mchakama","kilwa_mandawa",14,2011,1,12
"kilwa_mandawa_mkondaji","kilwa_mandawa",14,2011,1,8
"kilwa_masoko_masoko","kilwa_masoko",14,2011,1,52
"kilwa_masoko_mkwanyule","kilwa_masoko",14,2011,1,7
"kilwa_masoko_mpara","kilwa_masoko",14,2011,1,16
"kilwa_miguruwe_miguruwe","kilwa_miguruwe",14,2011,1,15
"kilwa_miguruwe_nakingombe","kilwa_miguruwe",14,2011,1,5
"kilwa_miguruwe_zingakibaoni","kilwa_miguruwe",14,2011,1,10
"kilwa_mingumbi_chapita","kilwa_mingumbi",14,2011,1,5
"kilwa_mingumbi_mingumbi","kilwa_mingumbi",14,2011,1,8
"kilwa_mingumbi_nambondo","kilwa_mingumbi",14,2011,1,16
"kilwa_mingumbi_nampunga","kilwa_mingumbi",14,2011,1,4
"kilwa_mingumbi_nangambi","kilwa_mingumbi",14,2011,1,11
