"DW","month","year","round","Dogs"
"kilwa_chumo",14,2011,1,40
"kilwa_kandawale",14,2011,1,31
"kilwa_kikole",14,2011,1,6
"kilwa_kinjumbi",14,2011,1,171
"kilwa_kipatimu",14,2011,1,38
"kilwa_kiranjeranje",14,2011,1,263
"kilwa_kivinjesingino",14,2011,1,120
"kilwa_lihimalyao",14,2011,1,46
"kilwa_likawage",14,2011,1,8
"kilwa_mandawa",14,2011,1,104
"kilwa_masoko",14,2011,1,75
"kilwa_miguruwe",14,2011,1,30
"kilwa_mingumbi",14,2011,1,44
"kilwa_miteja",14,2011,1,78
"kilwa_mitole",14,2011,1,3
"kilwa_nanjirinji",14,2011,1,28
"kilwa_njinjo",14,2011,1,37
"kilwa_pandemikoma",14,2011,1,99
"kilwa_tingi",14,2011,1,51
"lindirural_chiponda",14,2011,1,108
"lindirural_kilangala",14,2011,1,34
"lindirural_kilolambwani",14,2011,1,27
"lindirural_kitomanga",14,2011,1,28
"lindirural_kiwalala",14,2011,1,34
"lindirural_longa",14,2011,1,30
"lindirural_majengo",14,2011,1,58
"lindirural_mandwanga",14,2011,1,31
"lindirural_matimba",14,2011,1,37
"lindirural_mchinga",14,2011,1,17
"lindirural_milola",14,2011,1,67
"lindirural_mipingo",14,2011,1,42
"lindirural_mnara",14,2011,1,97
"lindirural_mnolela",14,2011,1,62
"lindirural_mtama",14,2011,1,25
"lindirural_mtua",14,2011,1,11
"lindirural_mtumbya",14,2011,1,23
"lindirural_nachunyu",14,2011,1,9
"lindirural_nahukahuka",14,2011,1,70
"lindirural_namangale",14,2011,1,31
"lindirural_namupa",14,2011,1,19
"lindirural_nangaru",14,2011,1,52
"lindirural_navanga",14,2011,1,42
"lindirural_nyangamara",14,2011,1,85
"lindirural_nyangao",14,2011,1,10
"lindirural_nyengedi",14,2011,1,41
"lindirural_pangatena",14,2011,1,92
"lindirural_rutamba",14,2011,1,105
"lindirural_sudi",14,2011,1,19
"lindiurban_chikonji",14,2011,1,75
"lindiurban_jamhuri",14,2011,1,46
"lindiurban_matopeni",14,2011,1,110
"lindiurban_mbanja",14,2011,1,41
"lindiurban_mingoyo",14,2011,1,191
"lindiurban_mitandi",14,2011,1,3
"lindiurban_msinjahili",14,2011,1,93
"lindiurban_mtanda",14,2011,1,141
"lindiurban_mwenge",14,2011,1,34
"lindiurban_nachingwea",14,2011,1,5
"lindiurban_ndoro",14,2011,1,23
"lindiurban_ngapa",14,2011,1,122
"lindiurban_rasbura",14,2011,1,86
"lindiurban_tandangongoro",14,2011,1,105
"liwale_barikiwa",14,2011,1,12
"liwale_kiangara",14,2011,1,27
"liwale_kibutuka",14,2011,1,27
"liwale_kichonda",14,2011,1,18
"liwale_kimambi",14,2011,1,1
"liwale_likongowele",14,2011,1,13
"liwale_lilombe",14,2011,1,24
"liwale_liwaleb",14,2011,1,61
"liwale_liwalemjini",14,2011,1,54
"liwale_makata",14,2011,1,24
"liwale_mangirikiti",14,2011,1,32
"liwale_mbaya",14,2011,1,3
"liwale_mihumo",14,2011,1,60
