"","District","Vdogs","vacc","unvacc","tdogs","cov","cov.est","cov.ci.lo","cov.ci.hi","est_dogs15","low.est","high.est"
"1","chakechake",609,12,12,24,0.5,0.330854187294133,4.57296938636625e-06,0.659824682843357,1538.05302862661,1165.50128285497,168167868.476457
"2","ilala",4419,131,61,192,0.682291666666667,0.757283056067891,0.643964516849519,0.923060918812092,8178.58093002035,6045.29722793709,8665.34951492642
"3","kibaha rural",4344,537,222,759,0.707509881422925,0.709055877137129,0.653258329875545,0.766065778851523,7753.20608084302,7160.57297733427,8397.09141703529
"4","kibaha urban",4242,354,179,533,0.664165103189493,0.662059045650329,0.614863738022119,0.708825708202031,8065.26482466941,7557.10096649087,8711.95862315505
"5","kilombero",12408,668,368,1036,0.644787644787645,0.64229591893587,0.600920483322845,0.682989268346446,24300.1580711116,22940.9778700823,26074.0682427722
"6","kilwa",2053,261,94,355,0.735211267605634,0.734986990841441,0.685059926737781,0.779689870241645,3526.15026850908,3324.99562662657,3784.2899686509
"7","kinondoni",3421,234,147,381,0.614173228346457,0.577249273637701,0.503908499790455,0.646520952729621,7033.73842352234,6681.81567307356,8572.85367624406
"8","kisarawe",3116,348,116,464,0.75,0.751303629850132,0.706478980584865,0.796994214956468,5246.38559080515,4937.03607788268,5569.57715832736
"9","lindi rural",1719,405,261,666,0.608108108108108,0.599970309170234,0.551657701326754,0.649222980593589,3569.59630650385,3343.53607549915,3934.86840016399
"10","lindi urban",1128,207,84,291,0.711340206185567,0.714189524339326,0.649754441097642,0.779908716053308,2002.42271935709,1826.37244685028,2192.21862901293
"11","liwale",1372,253,147,400,0.6325,0.632499999883491,0.583245682918064,0.680269236262918,2739.16127037222,2546.81442457708,2970.4797725075
"12","masasi",2382,325,271,596,0.545302013422819,0.545302013422797,0.505195299998584,0.58502014734226,5516.05613049487,5141.56055612283,5953.967731134
"13","masasi urban",2148,152,270,422,0.360189573459716,0.35256364356193,0.294362250582124,0.404787600579063,7530.55805524998,6700.86852945567,9214.59354407733
"14","micheweni",529,69,42,111,0.621621621621622,0.615066287094455,0.472384242043629,0.767826062623998,1074.61668913074,869.995173954168,1414.11357421489
"15","mkoani",651,19,12,31,0.612903225806452,0.580961890953349,0.26122586364203,0.877258012800095,1341.260399737,937.082151032553,3146.94270385021
"16","mkuranga",2451,154,108,262,0.587786259541985,0.587786259540848,0.527538594368216,0.646320228217987,5265.60045725865,4788.72153753904,5866.95955529335
"17","morogoro rural",6629,956,498,1454,0.657496561210454,0.660943068505801,0.617850086256398,0.704663897333911,12731.4700928862,11879.2772510379,13548.4286422073
"18","morogoro urban",8113,231,144,375,0.616,0.603998379331434,0.539496761039527,0.665547268114381,16631.2458965726,15393.117759035,18989.6366616705
"19","mtwara rural",1078,207,63,270,0.766666666666667,0.754828934548146,0.670270858937354,0.852536129410009,1775.56346633057,1596.72449908817,2030.91825645667
"20","mtwara urban",525,72,86,158,0.455696202531646,0.455696202531646,0.379222925759983,0.53401907071196,1454.81548445285,1241.44235292111,1748.19043527182
"21","nachingwea",2618,1109,282,1391,0.797268152408339,0.797436377565107,0.772058280575188,0.823699792441336,4146.57234587717,4013.51330103735,4281.96958209174
"22","nanyumbu",1114,453,221,674,0.672106824925816,0.670452799215195,0.628027146530806,0.712885175476032,2093.00808657823,1973.28415291398,2239.91116846595
"23","newala",778,245,111,356,0.688202247191011,0.688202244959791,0.638019447422767,0.737228991577768,1427.53751962955,1332.60430637162,1539.8190963097
"24","ruangwa",1409,816,313,1129,0.722763507528786,0.717042779193369,0.682894365808129,0.750703284130836,2461.7208114708,2370.1001525726,2605.44244811526
"25","rufiji",1920,72,14,86,0.837209302325581,0.836803691722066,0.745527592566697,0.95002985669998,2895.9509679669,2552.04304618641,3252.08230202929
"26","tandahimba",827,367,156,523,0.701720841300191,0.67138938587115,0.612243399797749,0.731666222073046,1488.21320965403,1427.30413678742,1705.7108755398
"27","temeke",3316,195,114,309,0.631067961165049,0.555770119739271,0.466953714603815,0.630744585755302,6635.32822813389,6638.7300837075,8967.36212954657
"28","ulanga",10141,1205,527,1732,0.695727482678984,0.690655680357162,0.661728972542667,0.718832869721485,18406.2638990794,17814.6328408621,19351.9464605365
"29","wete",682,74,21,95,0.778947368421053,0.808560378950447,0.667463498711695,0.976319106866327,1105.60573075842,882.097531871225,1290.27081802641
