"Region","District","Ward","Village","matchDistrict","matchWard","matchVillage","Population"
"Lindi","Kilwa","Tingi","Njianne","Kilwa","Tingi","Njianne",3416
"Lindi","Kilwa","Tingi","Tingi","Kilwa","Tingi","Tingi",2074
"Lindi","Kilwa","Tingi","Mtandango","Kilwa","Tingi","Mtandango",1292
"Lindi","Kilwa","Miteja","Miteja","Kilwa","Miteja","Miteja",2659
"Lindi","Kilwa","Miteja","Mtukwao","Kilwa","Miteja","Mtukwao",603
"Lindi","Kilwa","Miteja","Mtoni","Kilwa","Miteja","Mtoni",2591
"Lindi","Kilwa","Miteja","Tilawandu","Kilwa","Miteja","Tilawandu",304
"Lindi","Kilwa","Mingumbi","Chapita","Kilwa","Mingumbi","Chapita",2189
"Lindi","Kilwa","Mingumbi","Nangambinaipuli","Kilwa","Mingumbi","Nangambi",1499
"Lindi","Kilwa","Mingumbi","Mingumbi","Kilwa","Mingumbi","Mingumbi",2179
"Lindi","Kilwa","Mingumbi","Nambondo","Kilwa","Mingumbi","Nambondo",1438
"Lindi","Kilwa","Mingumbi","Kililima","Kilwa","Mingumbi","Kililima",1420
"Lindi","Kilwa","Mingumbi","Nampunga","Kilwa","Mingumbi","Nampunga",1223
"Lindi","Kilwa","Kinjumbi","Somanga Ndumbo","Kilwa","Kinjumbi","Somanga Ndumbo",5304
"Lindi","Kilwa","Kinjumbi","Miumbu","Kilwa","Kinjumbi","Miumbu",1980
"Lindi","Kilwa","Kinjumbi","Kinjumbi","Kilwa","Kinjumbi","Kinjumbi",2424
"Lindi","Kilwa","Kinjumbi","Mtyalambuko","Kilwa","Kinjumbi","Mtyalambu",1885
"Lindi","Kilwa","Kinjumbi","Pungutini","Kilwa","Kinjumbi","Pungutini",1208
"Lindi","Kilwa","Kinjumbi","Marendego","Kilwa","Kinjumbi","Marendego",918
"Lindi","Kilwa","Kinjumbi","Somangasimu","Kilwa","Kinjumbi","Somangasimu",706
"Lindi","Kilwa","Chumo","Hongwe","Kilwa","Chumo","Hongwe",1947
"Lindi","Kilwa","Chumo","Chumo","Kilwa","Chumo","Chumo",3932
"Lindi","Kilwa","Chumo","Ingirito","Kilwa","Chumo","Ingirito",2054
"Lindi","Kilwa","Chumo","Namayuni","Kilwa","Chumo","Namayuni",2331
"Lindi","Kilwa","Chumo","Kinywanyubugo","Kilwa","Chumo","Kinywanyubugo",1210
"Lindi","Kilwa","Chumo","Nahama","Kilwa","Chumo","Nahama",1271
"Lindi","Kilwa","Chumo","Ngorongoro","Kilwa","Chumo","Ngorongoro",1152
"Lindi","Kilwa","Kipatimu","Mkarango","Kilwa","Kipatimu","Mkarango",1589
"Lindi","Kilwa","Kipatimu","Mtondo Kimwaga","Kilwa","Kipatimu","Mtondo Kimwaga",4197
"Lindi","Kilwa","Kipatimu","Darajani","Kilwa","Kipatimu","Darajani",1663
"Lindi","Kilwa","Kipatimu","Nandembo","Kilwa","Kipatimu","Nandembo",1008
"Lindi","Kilwa","Kipatimu","Nandete","Kilwa","Kipatimu","Nandete",3313
"Lindi","Kilwa","Kipatimu","Kipatimu","Kilwa","Kipatimu","Kipatimu",2836
"Lindi","Kilwa","Kandawale","Kandawale","Kilwa","Kandawale","Kandawale",2549
"Lindi","Kilwa","Kandawale","Mtumbei Mpopera","Kilwa","Kandawale","Mtumbei Mpopera",1771
"Lindi","Kilwa","Kandawale","Namatewa","Kilwa","Kandawale","Namatewa",357
"Lindi","Kilwa","Kandawale","Ngarambi","Kilwa","Kandawale","Ngarambi",364
"Lindi","Kilwa","Njinjo","Kisimamkika","Kilwa","Njinjo","Kisimamkika",1068
"Lindi","Kilwa","Njinjo","Kipindimbi","Kilwa","Njinjo","Kipindimbi",1851
"Lindi","Kilwa","Njinjo","Njinjo","Kilwa","Njinjo","Njinjo",2798
"Lindi","Kilwa","Njinjo","Mitole","Kilwa","Mitole","Mitole",2225
"Lindi","Kilwa","Njinjo","Ngea","Kilwa","Mitole","Ngea",151
"Lindi","Kilwa","Mitole","Mitole","Kilwa","Mitole","Mitole",3139
