Region,District,Round1Start,Round1End,Round2Start,Round2End,Round3Start,Round3End,Round4Start,Round4End,Round5Start,Round5End
Dar Es Salaam,Kinondoni,2010,2010,2011,2011,2013,2013,2014,2014,2016,2016
Dar Es Salaam,Temeke,2010,2010,2011,2011,2013,2013,2015,2015,2016,2016
Dar Es Salaam,Ilala,2010,2010,2011,2011,2013,2013,2015,2015,2017,2017
Morogoro,Morogoro Urban,2010,2010,2011,2011,2013,2013,2014,2014,2016,2016
Morogoro,Morogoro,2010,2010,2011,2011,2013,2013,2014,2014,2016,2016
Morogoro,Ulanga,2010,2010,2011,2011,2013,2013,2014,2014,2016,2016
Morogoro,Kilombero,2010,2010,2011,2011,2013,2013,2014,2015,2016,2016
Mtwara,Masasi,2011,2011,2012,2012,2014,2014,2015,2015,2016,2016
Mtwara,Masasi Township Authority,2011,2011,2012,2012,2014,2014,2015,2015,2016,2016
Mtwara,Mtwara Rural,2011,2011,2012,2012,2014,2014,2015,2015,2016,2016
Mtwara,Mtwara Urban,2011,2011,2012,2012,2014,2014,2015,2015,2016,2016
Mtwara,Newala,2011,2011,2012,2012,2014,2014,2015,2015,2016,2016
Mtwara,Tandahimba,2011,2011,2012,2012,2014,2014,2015,2015,2016,2016
Mtwara,Nanyumbu,2011,2011,2012,2012,2014,2014,2015,2015,2016,2016
Lindi,Lindi Rural,2011,2011,2012,2012,2014,2014,2015,2015,2016,2016
Lindi,Lindi Urban,2011,2011,2012,2012,2014,2014,2015,2015,2016,2016
Lindi,Kilwa,2011,2011,2012,2012,2014,2014,2015,2015,2016,2016
Lindi,Liwale,2011,2011,2012,2012,2014,2014,2015,2015,2016,2016
Lindi,Ruangwa,2011,2011,2012,2012,2014,2014,2015,2015,2016,2016
Lindi,Nachingwea,2011,2011,2012,2012,2014,2014,2015,2015,2016,2016
Pwani,Mkuranga,2011,2011,2012,2012,2013,2013,2014,2015,2016,2016
Pwani,Rufiji,2011,2011,2012,2012,2013,2013,2014,2015,2016,2016
Pwani,Kisarawe,2011,2011,2012,2012,2013,2013,2015,2015,2016,2016
Pwani,Kibaha,2011,2011,2012,2012,2013,2013,2014,2014,2016,2016
Pwani,Kibaha Urban,2011,2011,2012,2012,2013,2013,2014,2014,2016,2016
Pemba,Wete,2011,2011,2012,2012,2013,2013,2014,2014,2016,2016
Pemba,Micheweni,2011,2011,2012,2012,2013,2013,2014,2014,2016,2016
Pemba,Chake Chake,2011,2011,2012,2012,2013,2013,2014,2014,2016,2016
Pemba,Mkoani,2011,2011,2012,2012,2013,2013,2014,2014,2016,2016
