"Date","Correct_Village","Correct_Ward","Correct_District","Correct_Region","Dogs.without.collars","Dogs.with.collars","month","year","DWV","DW"
2014-07-16,"Chumo","Chumo","Kilwa","Lindi",2,5,55,2014,"kilwa_chumo_chumo","kilwa_chumo"
2015-09-21,"Chumo","Chumo","Kilwa","Lindi",5,15,69,2015,"kilwa_chumo_chumo","kilwa_chumo"
2014-07-14,"Hongwe","Chumo","Kilwa","Lindi",0,3,55,2014,"kilwa_chumo_hongwe","kilwa_chumo"
2016-11-17,"Hongwe","Chumo","Kilwa","Lindi",1,9,83,2016,"kilwa_chumo_hongwe","kilwa_chumo"
2015-09-20,"Hongwe","Chumo","Kilwa","Lindi",2,7,69,2015,"kilwa_chumo_hongwe","kilwa_chumo"
2014-07-15,"Ingirito","Chumo","Kilwa","Lindi",2,6,55,2014,"kilwa_chumo_ingirito","kilwa_chumo"
2016-11-17,"Ingirito","Chumo","Kilwa","Lindi",1,7,83,2016,"kilwa_chumo_ingirito","kilwa_chumo"
2015-09-19,"Ingirito","Chumo","Kilwa","Lindi",3,8,69,2015,"kilwa_chumo_ingirito","kilwa_chumo"
2014-07-15,"Kinywanyubugo","Chumo","Kilwa","Lindi",1,4,55,2014,"kilwa_chumo_kinywanyubugo","kilwa_chumo"
2016-11-17,"Kinywanyubugo","Chumo","Kilwa","Lindi",1,7,83,2016,"kilwa_chumo_kinywanyubugo","kilwa_chumo"
2015-09-18,"Kinywanyubugo","Chumo","Kilwa","Lindi",3,8,69,2015,"kilwa_chumo_kinywanyubugo","kilwa_chumo"
2014-07-17,"Nahama","Chumo","Kilwa","Lindi",1,3,55,2014,"kilwa_chumo_nahama","kilwa_chumo"
2016-11-22,"Nahama","Chumo","Kilwa","Lindi",1,8,83,2016,"kilwa_chumo_nahama","kilwa_chumo"
2015-09-23,"Nahama","Chumo","Kilwa","Lindi",1,6,69,2015,"kilwa_chumo_nahama","kilwa_chumo"
2014-07-17,"Namayuni","Chumo","Kilwa","Lindi",1,4,55,2014,"kilwa_chumo_namayuni","kilwa_chumo"
2016-11-17,"Namayuni","Chumo","Kilwa","Lindi",2,10,83,2016,"kilwa_chumo_namayuni","kilwa_chumo"
2015-09-24,"Namayuni","Chumo","Kilwa","Lindi",2,7,69,2015,"kilwa_chumo_namayuni","kilwa_chumo"
2014-07-17,"Ngorongoro","Chumo","Kilwa","Lindi",0,3,55,2014,"kilwa_chumo_ngorongoro","kilwa_chumo"
2015-09-22,"Ngorongoro","Chumo","Kilwa","Lindi",1,4,69,2015,"kilwa_chumo_ngorongoro","kilwa_chumo"
2014-07-16,"Kandawale","Kandawale","Kilwa","Lindi",0,3,55,2014,"kilwa_kandawale_kandawale","kilwa_kandawale"
2016-11-19,"Kandawale","Kandawale","Kilwa","Lindi",0,19,83,2016,"kilwa_kandawale_kandawale","kilwa_kandawale"
2014-07-19,"Mtumbei Mpopera","Kandawale","Kilwa","Lindi",3,0,55,2014,"kilwa_kandawale_mtumbeimpopera","kilwa_kandawale"
2015-09-20,"Mtumbei Mpopera","Kandawale","Kilwa","Lindi",4,14,69,2015,"kilwa_kandawale_mtumbeimpopera","kilwa_kandawale"
2014-07-17,"Namatewa","Kandawale","Kilwa","Lindi",3,7,55,2014,"kilwa_kandawale_namatewa","kilwa_kandawale"
2016-11-21,"Namatewa","Kandawale","Kilwa","Lindi",0,0,83,2016,"kilwa_kandawale_namatewa","kilwa_kandawale"
2014-07-18,"Ngarambi","Kandawale","Kilwa","Lindi",0,2,55,2014,"kilwa_kandawale_ngarambi","kilwa_kandawale"
2014-07-17,"Hanga","Kibata","Kilwa","Lindi",6,8,55,2014,"kilwa_kibata_hanga","kilwa_kibata"
2016-11-20,"Hanga","Kibata","Kilwa","Lindi",3,11,83,2016,"kilwa_kibata_hanga","kilwa_kibata"
2016-11-16,"Kibata","Kibata","Kilwa","Lindi",2,11,83,2016,"kilwa_kibata_kibata","kilwa_kibata"
2014-07-19,"Kibata","Kibata","Kilwa","Lindi",2,7,55,2014,"kilwa_kibata_kibata","kilwa_kibata"
2014-07-18,"Mtende","Kibata","Kilwa","Lindi",4,3,55,2014,"kilwa_kibata_mtende","kilwa_kibata"
2016-11-19,"Mtende","Kibata","Kilwa","Lindi",1,11,83,2016,"kilwa_kibata_mtende","kilwa_kibata"
2016-11-18,"Mwengei","Kibata","Kilwa","Lindi",2,7,83,2016,"kilwa_kibata_mwengei","kilwa_kibata"
2014-07-20,"Mwengei","Kibata","Kilwa","Lindi",3,1,55,2014,"kilwa_kibata_mwengei","kilwa_kibata"
2014-07-14,"Kikole","Kikole","Kilwa","Lindi",0,0,55,2014,"kilwa_kikole_kikole","kilwa_kikole"
2015-09-21,"Kikole","Kikole","Kilwa","Lindi",3,10,69,2015,"kilwa_kikole_kikole","kilwa_kikole"
2014-07-13,"Kisangi","Kikole","Kilwa","Lindi",2,5,55,2014,"kilwa_kikole_kisangi","kilwa_kikole"
2015-09-21,"Kisangi","Kikole","Kilwa","Lindi",1,1,69,2015,"kilwa_kikole_kisangi","kilwa_kikole"
2014-07-11,"Migeregere","Kikole","Kilwa","Lindi",0,1,55,2014,"kilwa_kikole_migeregere","kilwa_kikole"
2015-09-23,"Migeregere","Kikole","Kilwa","Lindi",2,7,69,2015,"kilwa_kikole_migeregere","kilwa_kikole"
2014-07-12,"Ruhatwe","Kikole","Kilwa","Lindi",0,1,55,2014,"kilwa_kikole_ruhatwe","kilwa_kikole"
2015-09-19,"Ruhatwe","Kikole","Kilwa","Lindi",4,16,69,2015,"kilwa_kikole_ruhatwe","kilwa_kikole"
2016-11-22,"Ruhatwe","Kikole","Kilwa","Lindi",3,5,83,2016,"kilwa_kikole_ruhatwe","kilwa_kikole"
2015-10-03,"Marendego","Kinjumbi","Kilwa","Lindi",6,8,70,2015,"kilwa_kinjumbi_marendego","kilwa_kinjumbi"
2016-11-21,"Marendego","Kinjumbi","Kilwa","Lindi",1,4,83,2016,"kilwa_kinjumbi_marendego","kilwa_kinjumbi"
2016-11-19,"Miumbu","Kinjumbi","Kilwa","Lindi",7,11,83,2016,"kilwa_kinjumbi_miumbu","kilwa_kinjumbi"
2016-11-19,"Somanga Ndumbo","Kinjumbi","Kilwa","Lindi",22,0,83,2016,"kilwa_kinjumbi_somangandumbo","kilwa_kinjumbi"
2015-09-28,"Somanga Ndumbo","Kinjumbi","Kilwa","Lindi",3,9,69,2015,"kilwa_kinjumbi_somangandumbo","kilwa_kinjumbi"
2016-11-17,"Somangasimu","Kinjumbi","Kilwa","Lindi",15,35,83,2016,"kilwa_kinjumbi_somangasimu","kilwa_kinjumbi"
2014-07-15,"Darajani","Kipatimu","Kilwa","Lindi",1,3,55,2014,"kilwa_kipatimu_darajani","kilwa_kipatimu"
2014-07-12,"Kipatimu","Kipatimu","Kilwa","Lindi",5,17,55,2014,"kilwa_kipatimu_kipatimu","kilwa_kipatimu"
2014-07-16,"Mtondokimwaga","Kipatimu","Kilwa","Lindi",3,5,55,2014,"kilwa_kipatimu_mtondokimwaga","kilwa_kipatimu"
2016-11-17,"Mtondokimwaga","Kipatimu","Kilwa","Lindi",2,7,83,2016,"kilwa_kipatimu_mtondokimwaga","kilwa_kipatimu"
2014-07-14,"Nandembo","Kipatimu","Kilwa","Lindi",2,1,55,2014,"kilwa_kipatimu_nandembo","kilwa_kipatimu"
2014-07-13,"Nandete","Kipatimu","Kilwa","Lindi",9,7,55,2014,"kilwa_kipatimu_nandete","kilwa_kipatimu"
2014-07-22,"Kiranjeranje","Kiranjeranje","Kilwa","Lindi",2,12,55,2014,"kilwa_kiranjeranje_kiranjeranje","kilwa_kiranjeranje"
2015-09-27,"Kiranjeranje","Kiranjeranje","Kilwa","Lindi",2,12,69,2015,"kilwa_kiranjeranje_kiranjeranje","kilwa_kiranjeranje"
2014-07-21,"Kiswele","Kiranjeranje","Kilwa","Lindi",0,2,55,2014,"kilwa_kiranjeranje_kiswele","kilwa_kiranjeranje"
2015-10-01,"Makangaga","Kiranjeranje","Kilwa","Lindi",4,10,70,2015,"kilwa_kiranjeranje_makangaga","kilwa_kiranjeranje"
2015-09-01,"Mbwemkuru","Kiranjeranje","Kilwa","Lindi",1,2,69,2015,"kilwa_kiranjeranje_mbwemkuru","kilwa_kiranjeranje"
2014-07-23,"Mbwemkuru","Kiranjeranje","Kilwa","Lindi",7,11,55,2014,"kilwa_kiranjeranje_mbwemkuru","kilwa_kiranjeranje"
2016-11-16,"Mirumba","Kiranjeranje","Kilwa","Lindi",1,7,83,2016,"kilwa_kiranjeranje_mirumba","kilwa_kiranjeranje"
2014-07-23,"Mirumba","Kiranjeranje","Kilwa","Lindi",3,6,55,2014,"kilwa_kiranjeranje_mirumba","kilwa_kiranjeranje"
2015-09-24,"Mirumba","Kiranjeranje","Kilwa","Lindi",3,7,69,2015,"kilwa_kiranjeranje_mirumba","kilwa_kiranjeranje"
2014-07-22,"Mtandi","Kiranjeranje","Kilwa","Lindi",2,5,55,2014,"kilwa_kiranjeranje_mtandi","kilwa_kiranjeranje"
2015-09-27,"Mtandi","Kiranjeranje","Kilwa","Lindi",3,6,69,2015,"kilwa_kiranjeranje_mtandi","kilwa_kiranjeranje"
2014-07-14,"Magengeni","Kivinjesingino","Kilwa","Lindi",2,1,55,2014,"kilwa_kivinjesingino_magengeni","kilwa_kivinjesingino"
2016-11-18,"Magengeni","Kivinjesingino","Kilwa","Lindi",0,2,83,2016,"kilwa_kivinjesingino_magengeni","kilwa_kivinjesingino"
2014-07-19,"Matandu","Kivinjesingino","Kilwa","Lindi",2,7,55,2014,"kilwa_kivinjesingino_matandu","kilwa_kivinjesingino"
2015-09-19,"Matandu","Kivinjesingino","Kilwa","Lindi",1,2,69,2015,"kilwa_kivinjesingino_matandu","kilwa_kivinjesingino"
2016-11-20,"Matandu","Kivinjesingino","Kilwa","Lindi",1,4,83,2016,"kilwa_kivinjesingino_matandu","kilwa_kivinjesingino"
2014-07-14,"Mgongeni","Kivinjesingino","Kilwa","Lindi",3,1,55,2014,"kilwa_kivinjesingino_mgongeni","kilwa_kivinjesingino"
2016-11-18,"Mgongeni","Kivinjesingino","Kilwa","Lindi",3,7,83,2016,"kilwa_kivinjesingino_mgongeni","kilwa_kivinjesingino"
2014-07-15,"Nangurukuru","Kivinjesingino","Kilwa","Lindi",1,0,55,2014,"kilwa_kivinjesingino_nangurukuru","kilwa_kivinjesingino"
2014-07-13,"Singino","Kivinjesingino","Kilwa","Lindi",3,1,55,2014,"kilwa_kivinjesingino_singino","kilwa_kivinjesingino"
2014-07-19,"Kisongo","Lihimalyao","Kilwa","Lindi",2,6,55,2014,"kilwa_lihimalyao_kisongo","kilwa_lihimalyao"
2016-11-20,"Kisongo","Lihimalyao","Kilwa","Lindi",1,0,83,2016,"kilwa_lihimalyao_kisongo","kilwa_lihimalyao"
2016-11-17,"Lihimalyao Kaskazini","Lihimalyao","Kilwa","Lindi",2,1,83,2016,"kilwa_lihimalyao_lihimalyaokaskazini","kilwa_lihimalyao"
2014-07-20,"Lihimalyao Kaskazini","Lihimalyao","Kilwa","Lindi",9,5,55,2014,"kilwa_lihimalyao_lihimalyaokaskazini","kilwa_lihimalyao"
2016-11-16,"Lihmalyo Kusini","Lihimalyao","Kilwa","Lindi",0,5,83,2016,"kilwa_lihimalyao_lihmalyokusini","kilwa_lihimalyao"
2014-07-18,"Lihmalyo Kusini","Lihimalyao","Kilwa","Lindi",11,11,55,2014,"kilwa_lihimalyao_lihmalyokusini","kilwa_lihimalyao"
2014-07-18,"Namakongo*","Lihimalyao","Kilwa","Lindi",12,9,55,2014,"kilwa_lihimalyao_namakongo","kilwa_lihimalyao"
2016-11-18,"Namakongo*","Lihimalyao","Kilwa","Lindi",0,5,83,2016,"kilwa_lihimalyao_namakongo","kilwa_lihimalyao"
2016-11-16,"Rushungi","Lihimalyao","Kilwa","Lindi",3,7,83,2016,"kilwa_lihimalyao_rushungi","kilwa_lihimalyao"
2014-07-18,"Rushungi","Lihimalyao","Kilwa","Lindi",3,8,55,2014,"kilwa_lihimalyao_rushungi","kilwa_lihimalyao"
2014-07-19,"Ruyaya","Lihimalyao","Kilwa","Lindi",0,1,55,2014,"kilwa_lihimalyao_ruyaya","kilwa_lihimalyao"
2016-11-19,"Ruyaya","Lihimalyao","Kilwa","Lindi",1,1,83,2016,"kilwa_lihimalyao_ruyaya","kilwa_lihimalyao"
2015-10-04,"Likawage","Likawage","Kilwa","Lindi",4,5,70,2015,"kilwa_likawage_likawage","kilwa_likawage"
2014-07-14,"Likawage","Likawage","Kilwa","Lindi",7,3,55,2014,"kilwa_likawage_likawage","kilwa_likawage"
2015-10-04,"Liwiti","Likawage","Kilwa","Lindi",0,3,70,2015,"kilwa_likawage_liwiti","kilwa_likawage"
2014-07-15,"Liwiti","Likawage","Kilwa","Lindi",0,1,55,2014,"kilwa_likawage_liwiti","kilwa_likawage"
2014-07-16,"Nainokwe","Likawage","Kilwa","Lindi",3,2,55,2014,"kilwa_likawage_nainokwe","kilwa_likawage"
2014-07-16,"Hotelitatu","Mandawa","Kilwa","Lindi",6,5,55,2014,"kilwa_mandawa_hotelitatu","kilwa_mandawa"
2015-09-23,"Hotelitatu","Mandawa","Kilwa","Lindi",1,1,69,2015,"kilwa_mandawa_hotelitatu","kilwa_mandawa"
2014-07-14,"Kiwawa","Mandawa","Kilwa","Lindi",0,0,55,2014,"kilwa_mandawa_kiwawa","kilwa_mandawa"
2015-09-22,"Kiwawa","Mandawa","Kilwa","Lindi",4,4,69,2015,"kilwa_mandawa_kiwawa","kilwa_mandawa"
2014-07-17,"Mandawa","Mandawa","Kilwa","Lindi",2,3,55,2014,"kilwa_mandawa_mandawa","kilwa_mandawa"
2016-11-20,"Mandawa","Mandawa","Kilwa","Lindi",4,8,83,2016,"kilwa_mandawa_mandawa","kilwa_mandawa"
2015-09-24,"Mandawa","Mandawa","Kilwa","Lindi",4,8,69,2015,"kilwa_mandawa_mandawa","kilwa_mandawa"
2014-07-14,"Mavuji","Mandawa","Kilwa","Lindi",0,0,55,2014,"kilwa_mandawa_mavuji","kilwa_mandawa"
2016-11-16,"Mavuji","Mandawa","Kilwa","Lindi",1,7,83,2016,"kilwa_mandawa_mavuji","kilwa_mandawa"
2015-09-21,"Mavuji","Mandawa","Kilwa","Lindi",1,5,69,2015,"kilwa_mandawa_mavuji","kilwa_mandawa"
2014-07-15,"Mchakama","Mandawa","Kilwa","Lindi",4,4,55,2014,"kilwa_mandawa_mchakama","kilwa_mandawa"
2015-09-24,"Mkondaji","Mandawa","Kilwa","Lindi",0,4,69,2015,"kilwa_mandawa_mkondaji","kilwa_mandawa"
2016-11-20,"Kisangi","Masoko","Kilwa","Lindi",2,8,83,2016,"kilwa_masoko_kisangi","kilwa_masoko"
2016-11-17,"Kisiwani","Masoko","Kilwa","Lindi",8,4,83,2016,"kilwa_masoko_kisiwani","kilwa_masoko"
2014-07-18,"Kisiwani","Masoko","Kilwa","Lindi",0,0,55,2014,"kilwa_masoko_kisiwani","kilwa_masoko"
2014-07-10,"Masoko","Masoko","Kilwa","Lindi",8,5,55,2014,"kilwa_masoko_masoko","kilwa_masoko"
2016-11-22,"Masoko","Masoko","Kilwa","Lindi",12,15,83,2016,"kilwa_masoko_masoko","kilwa_masoko"
2016-11-17,"Mchomolo","Masoko","Kilwa","Lindi",1,9,83,2016,"kilwa_masoko_mchomolo","kilwa_masoko"
2014-07-12,"Mkwanyule","Masoko","Kilwa","Lindi",1,2,55,2014,"kilwa_masoko_mkwanyule","kilwa_masoko"
2016-11-18,"Mkwanyule","Masoko","Kilwa","Lindi",10,7,83,2016,"kilwa_masoko_mkwanyule","kilwa_masoko"
2014-07-11,"Mnazi Mmo*","Masoko","Kilwa","Lindi",2,3,55,2014,"kilwa_masoko_mnazimmo","kilwa_masoko"
2016-11-21,"Mpara","Masoko","Kilwa","Lindi",6,5,83,2016,"kilwa_masoko_mpara","kilwa_masoko"
2014-07-16,"Miguruwe","Miguruwe","Kilwa","Lindi",6,5,55,2014,"kilwa_miguruwe_miguruwe","kilwa_miguruwe"
2016-11-17,"Miguruwe","Miguruwe","Kilwa","Lindi",3,9,83,2016,"kilwa_miguruwe_miguruwe","kilwa_miguruwe"
2014-07-18,"Mtepera","Miguruwe","Kilwa","Lindi",3,5,55,2014,"kilwa_miguruwe_mtepera","kilwa_miguruwe"
2016-11-20,"Mtepera","Miguruwe","Kilwa","Lindi",2,6,83,2016,"kilwa_miguruwe_mtepera","kilwa_miguruwe"
2016-11-18,"Nakingombe","Miguruwe","Kilwa","Lindi",0,2,83,2016,"kilwa_miguruwe_nakingombe","kilwa_miguruwe"
2014-07-19,"Nakingombe","Miguruwe","Kilwa","Lindi",1,6,55,2014,"kilwa_miguruwe_nakingombe","kilwa_miguruwe"
2014-07-17,"Zinga Kibaoni","Miguruwe","Kilwa","Lindi",0,3,55,2014,"kilwa_miguruwe_zingakibaoni","kilwa_miguruwe"
2014-07-18,"Chapita","Mingumbi","Kilwa","Lindi",2,3,55,2014,"kilwa_mingumbi_chapita","kilwa_mingumbi"
2016-11-18,"Chapita","Mingumbi","Kilwa","Lindi",2,4,83,2016,"kilwa_mingumbi_chapita","kilwa_mingumbi"
2015-09-22,"Chapita","Mingumbi","Kilwa","Lindi",1,3,69,2015,"kilwa_mingumbi_chapita","kilwa_mingumbi"
2016-11-18,"Kililima","Mingumbi","Kilwa","Lindi",2,8,83,2016,"kilwa_mingumbi_kililima","kilwa_mingumbi"
2014-07-21,"Kililima","Mingumbi","Kilwa","Lindi",2,1,55,2014,"kilwa_mingumbi_kililima","kilwa_mingumbi"
2015-09-21,"Kililima","Mingumbi","Kilwa","Lindi",1,3,69,2015,"kilwa_mingumbi_kililima","kilwa_mingumbi"
2016-11-17,"Mingumbi","Mingumbi","Kilwa","Lindi",1,7,83,2016,"kilwa_mingumbi_mingumbi","kilwa_mingumbi"
2015-09-19,"Mingumbi","Mingumbi","Kilwa","Lindi",1,2,69,2015,"kilwa_mingumbi_mingumbi","kilwa_mingumbi"
2014-07-23,"Mingumbi","Mingumbi","Kilwa","Lindi",2,5,55,2014,"kilwa_mingumbi_mingumbi","kilwa_mingumbi"
2016-11-19,"Nambondo","Mingumbi","Kilwa","Lindi",2,8,83,2016,"kilwa_mingumbi_nambondo","kilwa_mingumbi"
2014-07-22,"Nambondo","Mingumbi","Kilwa","Lindi",1,7,55,2014,"kilwa_mingumbi_nambondo","kilwa_mingumbi"
2015-09-23,"Nambondo","Mingumbi","Kilwa","Lindi",1,4,69,2015,"kilwa_mingumbi_nambondo","kilwa_mingumbi"
2015-10-05,"Nampunga","Mingumbi","Kilwa","Lindi",1,0,70,2015,"kilwa_mingumbi_nampunga","kilwa_mingumbi"
2014-07-19,"Nampunga","Mingumbi","Kilwa","Lindi",0,2,55,2014,"kilwa_mingumbi_nampunga","kilwa_mingumbi"
