"Correct_Village","Correct_Ward","Correct_District","Correct_Region","dateVaccination","Dogs"
"lindirural_nyangamara_liputi","Nyangamara","Lindi Rural","Lindi",2011-02-01,6
"lindirural_nyangamara_madingo","Nyangamara","Lindi Rural","Lindi",2011-02-01,9
"lindiurban_mingoyo_mkwaya","Mingoyo","Lindi Urban","Lindi",2011-02-01,20
"liwale_makata_makata","Makata","Liwale","Lindi",2011-02-01,15
"liwale_mkutano_mkutano","Mkutano","Liwale","Lindi",2011-02-01,3
"liwale_nangando_nangando","Nangando","Liwale","Lindi",2011-02-01,38
"liwale_ngongowele_mikuyu","Ngongowele","Liwale","Lindi",2011-02-01,14
"liwale_ngongowele_ngongowele","Ngongowele","Liwale","Lindi",2011-02-01,2
"liwale_ngongowele_ngunja","Ngongowele","Liwale","Lindi",2011-02-01,16
"nachingwea_chiola_chingunduli","Chiola","Nachingwea","Lindi",2011-02-01,10
"nachingwea_chiola_chiola","Chiola","Nachingwea","Lindi",2011-02-01,32
"nachingwea_nambambo_nachingwea","Nambambo","Nachingwea","Lindi",2011-02-01,32
"nachingwea_nditi_nyambib","Nditi","Nachingwea","Lindi",2011-02-01,14
"ruangwa_chunyu_mihewe","Chunyu","Ruangwa","Lindi",2011-02-01,4
"ruangwa_chunyu_namikulo","Chunyu","Ruangwa","Lindi",2011-02-01,2
"ruangwa_likunja_likunja","Likunja","Ruangwa","Lindi",2011-02-01,5
"ruangwa_likunja_mpara","Likunja","Ruangwa","Lindi",2011-02-01,8
"mtwararural_kitere_chekeleni","Kitere","Mtwara Rural","Mtwara",2011-02-01,4
"mtwararural_libobe_libobeb","Libobe","Mtwara Rural","Mtwara",2011-02-01,19
"mtwararural_mayanga_msijute","Mayanga","Mtwara Rural","Mtwara",2011-02-01,16
"mtwararural_ndumbwe_ndumbwe","Ndumbwe","Mtwara Rural","Mtwara",2011-02-01,50
"lindiurban_mtanda_mtandajuu","Mtanda","Lindi Urban","Lindi",2011-02-02,45
"ruangwa_mbekenyera_namilema","Mbekenyera","Ruangwa","Lindi",2011-02-02,3
"ruangwa_namichiga_namkonjera","Namichiga","Ruangwa","Lindi",2011-02-02,9
"ruangwa_nandagala_nandagalaa","Nandagala","Ruangwa","Lindi",2011-02-02,2
"mtwararural_dihimba_dihimba","Dihimba","Mtwara Rural","Mtwara",2011-02-02,11
"mtwararural_tangazo_kilambo","Tangazo","Mtwara Rural","Mtwara",2011-02-02,11
"lindirural_navanga_mongomongo","Navanga","Lindi Rural","Lindi",2011-02-03,33
"liwale_barikiwa_barikiwa","Barikiwa","Liwale","Lindi",2011-02-03,12
"liwale_kiangara_kiangara","Kiangara","Liwale","Lindi",2011-02-03,23
"liwale_kiangara_mtawatawa","Kiangara","Liwale","Lindi",2011-02-03,4
"liwale_kibutuka_kibutuka","Kibutuka","Liwale","Lindi",2011-02-03,18
"liwale_kichonda_kichonda","Kichonda","Liwale","Lindi",2011-02-03,11
"liwale_kichonda_mbuli","Kichonda","Liwale","Lindi",2011-02-03,3
"liwale_kichonda_nyera","Kichonda","Liwale","Lindi",2011-02-03,4
"liwale_kimambi_kimambi","Kimambi","Liwale","Lindi",2011-02-03,1
"liwale_likongowele_likongowele","Likongowele","Liwale","Lindi",2011-02-03,13
"liwale_liwaleb_liwaleb","Liwale 'B'","Liwale","Lindi",2011-02-03,35
"liwale_liwaleb_mahonga","Liwale 'B'","Liwale","Lindi",2011-02-03,9
"liwale_liwaleb_mikunya","Liwale 'B'","Liwale","Lindi",2011-02-03,8
"liwale_liwaleb_tuungane","Liwale 'B'","Liwale","Lindi",2011-02-03,9
"liwale_makata_mpengere","Makata","Liwale","Lindi",2011-02-03,9
"liwale_mangirikiti_mangirikiti","Mangirikiti","Liwale","Lindi",2011-02-03,32
"liwale_mihumo_darajani","Mihumo","Liwale","Lindi",2011-02-03,20
"liwale_mihumo_mihumo","Mihumo","Liwale","Lindi",2011-02-03,9
"liwale_mirui_mirui","Mirui","Liwale","Lindi",2011-02-03,3
"liwale_mpigamiti_mpigamiti","Mpigamiti","Liwale","Lindi",2011-02-03,18
"liwale_mpigamiti_namakololo","Mpigamiti","Liwale","Lindi",2011-02-03,14
"ruangwa_chunyu_namikulo","Chunyu","Ruangwa","Lindi",2011-02-03,2
"lindirural_kilolambwani_mvulenib","Kilolambwani","Lindi Rural","Lindi",2011-02-04,11
"lindirural_mnara_mkangaii","Mnara","Lindi Rural","Lindi",2011-02-06,17
"lindirural_namangale_chiwelele","Namangale","Lindi Rural","Lindi",2011-02-06,20
"lindirural_namangale_namangale","Namangale","Lindi Rural","Lindi",2011-02-06,11
"ruangwa_chinongwe_chinongwea","Chinongwe","Ruangwa","Lindi",2011-02-06,27
"lindirural_nyangamara_utimbe","Nyangamara","Lindi Rural","Lindi",2011-02-07,1
"ruangwa_chinongwe_likwachu","Chinongwe","Ruangwa","Lindi",2011-02-09,21
"ruangwa_ruangwa_lipande","Ruangwa","Ruangwa","Lindi",2011-02-09,7
"masasi_mkululu_mkululu","Mkululu","Masasi","Mtwara",2011-02-09,10
"masasi_namatutwe_namatutwe","Namatutwe","Masasi","Mtwara",2011-02-09,11
"nachingwea_lionja_ilolo","Lionja","Nachingwea","Lindi",2011-02-10,5
"nachingwea_nditi_namanja","Nditi","Nachingwea","Lindi",2011-02-10,12
"nachingwea_nditi_nditi","Nditi","Nachingwea","Lindi",2011-02-10,26
"ruangwa_chinongwe_chinongweb","Chinongwe","Ruangwa","Lindi",2011-02-10,6
"ruangwa_chunyu_chunyu","Chunyu","Ruangwa","Lindi",2011-02-10,9
"ruangwa_nachingwea_dodoma","Nachingwea","Ruangwa","Lindi",2011-02-10,10
"masasi_mchauru_mchauru","Mchauru","Masasi","Mtwara",2011-02-10,7
"masasi_mchauru_rivango","Mchauru","Masasi","Mtwara",2011-02-10,6
"masasitownshipauthority_nyasa_mtaawanyasaa","Nyasa","Masasi Township Authority","Mtwara",2011-02-10,42
"ruangwa_chinongwe_juhudia","Chinongwe","Ruangwa","Lindi",2011-02-11,5
"masasi_mchauru_mwitika","Mchauru","Masasi","Mtwara",2011-02-11,36
"masasi_mwena_chikundi","Mwena","Masasi","Mtwara",2011-02-11,74
"liwale_kibutuka_ngumbu","Kibutuka","Liwale","Lindi",2011-02-12,9
"liwale_mihumo_likombora","Mihumo","Liwale","Lindi",2011-02-12,31
