Region,District,Ward,Village,shpDistrict,shpWard,shpVillage,Population,Notes
Morogoro,Morogoro,Kasanga,Kasanga,Morogoro,Kasanga,Kasanga,1864,
Morogoro,Morogoro,Kasanga,Kitonga,Morogoro,Kasanga,Kitonga,2305,Includes population from Kizagila village
Morogoro,Morogoro,Kasanga,Longwe,Morogoro,Kasanga,Longwe,750,
Morogoro,Morogoro,Kasanga,Ukwama,Morogoro,Kasanga,Ukwama,1639,
Morogoro,Morogoro,Kolero,Lukange,Morogoro,Kolero,Lukange,1916,
Morogoro,Morogoro,Kolero,Temekelo,Morogoro,Kolero,Temekelo,882,
Morogoro,Morogoro,Kolero,Kolero,Morogoro,Kolero,Kolero,2320,
Morogoro,Morogoro,Kolero,Lubasazi,Morogoro,Kolero,Lubasazi,1845,
Morogoro,Morogoro,Kolero,Malani,Morogoro,Kolero,Malani,1352,
Morogoro,Morogoro,Kolero,Mlagano,Morogoro,Kolero,Mlagano,986,
Morogoro,Morogoro,Mvuha,Mvuha,Morogoro,Mvuha,Mvuha,2382,
Morogoro,Morogoro,Mvuha,Msonge,Morogoro,Mvuha,Msonge,1712,
Morogoro,Morogoro,Mvuha,Lukulunge,Morogoro,Mvuha,Lululunge,1192,
Morogoro,Morogoro,Mvuha,Tulo,Morogoro,Mvuha,Tulo,1593,
Morogoro,Morogoro,Mvuha,Kongwa,Morogoro,Mvuha,Kongwa,3780,
Morogoro,Morogoro,Mvuha,Dala,Morogoro,Mvuha,Dala,3591,
Morogoro,Morogoro,Selembala,Magogoni,Morogoro,Selembala,Magogoni,1986,
Morogoro,Morogoro,Selembala,Kiganila,Morogoro,Selembala,Kiganila,1386,
Morogoro,Morogoro,Selembala,Bwila juu,Morogoro,Selembala,Bwila Juu,1143,
Morogoro,Morogoro,Selembala,Bwila chini,Morogoro,Selembala,Bwila Chini,1607,
Morogoro,Morogoro,Selembala,Kibulumo,Morogoro,Selembala,Kibulumo,739,
Morogoro,Morogoro,Bwakila chini,Dakawa,Morogoro,Bwakila Chini,Dakawa,2141,
Morogoro,Morogoro,Bwakila chini,Bwakila Chini,Morogoro,Bwakila Chini,Bwakila Chini,1968,
Morogoro,Morogoro,Bwakila chini,Bonye,Morogoro,Bwakila Chini,Bonye,4421,
Morogoro,Morogoro,Bwakila chini,Mbwade,Morogoro,Bwakila Chini,Mbwade,5188,
Morogoro,Morogoro,Bwakila juu,Bwakila juu,Morogoro,Bwakila Juu,Bwakila Juu,2793,
Morogoro,Morogoro,Bwakila juu,Kumba,Morogoro,Bwakila Juu,Kumba,3183,Includes population from Mgata village
Morogoro,Morogoro,Kisaki,Nyarutanga,Morogoro,Kisaki,Nyarutanga,4877,
Morogoro,Morogoro,Kisaki,Gomero,Morogoro,Kisaki,Gomero,2714,
Morogoro,Morogoro,Kisaki,Kisaki Kituoni,Morogoro,Kisaki,Kisaki Kituoni,4222,
Morogoro,Morogoro,Kisaki,Kichangani,Morogoro,Kisaki,Kichangani,1697,
Morogoro,Morogoro,Mngazi,Sesenga,Morogoro,Mngazi,Sesenga,1711,
