"","District","est_dogs","Pop2014","Gr","pred.dogs.per1000pop","pred.dogs.per1000pop.lwr","pred.dogs.per1000pop.upr","HumanDogRatio","HumanDogRatio.upr","HumanDogRatio.lwr","Dog_Hum_Ratio","Dog_Hum_Ratio.lwr","Dog_Hum_Ratio.upr","Numdogs","Numdogs.lwr","Numdogs.upr","MvCI","Ppop.lvst","Ppop.peas"
"mjini","mjini",NA,227515.9633,1,5.36046515910049,1.51312743859221,18.9901960595364,186.550974648589,52.6587506977225,660.882867163113,0.00536046515910049,0.00151312743859221,0.0189901960595364,1219.59139440884,344.260646786969,4320.57274974129,0,-5.29831736654804,-3.17008566069877
"kinondoni","kinondoni",8783.43974960876,1956991.5225,5,5.42437703345214,1.46889760930509,20.0312574645438,184.352966955099,49.921978276703,680.782645206349,0.00542437703345214,0.00146889760930509,0.0200312574645438,10615.4598693095,2874.62016883058,39201.001043127,0,-4.8283137373023,-3.54045944899566
"temeke","temeke",5930.263921276,1538074.6916,6,6.75049260198077,1.94244365421708,23.4597025609807,148.13733737099,42.6262863904868,514.815447968842,0.00675049260198077,0.00194244365421708,0.0234597025609807,10382.7618269397,2987.62342441031,36082.7747815081,0,-4.8283137373023,-3.07911388249304
"ilala","ilala",NA,1397477.5339,7,7.42651844618628,2.10690356863457,26.1773614381831,134.652597613021,38.2009471184277,474.630170496162,0.00742651844618628,0.00210690356863457,0.0261773614381831,10378.3926836393,2944.35040326055,36582.2745066411,0,-4.42284862919414,-3.2188758248682
"mtwara rural","mtwara rural",2685.23747599232,232585.8603,1,11.6216853080942,3.66541538894844,36.8480936178753,86.0460400957102,27.1384460311644,272.820374742544,0.0116216853080942,0.00366541538894844,0.0368480936178752,2703.03967551896,852.523791595432,8570.34555452845,0,-6.90775527898214,-0.183922838160928
"lindi rural","lindi rural",2841.48704287126,190279.5543,-1,11.8832982975792,3.74134925907998,37.7438107619961,84.1517207561568,26.4944100717803,267.283252846035,0.0118832982975792,0.00374134925907998,0.0377438107619961,2261.14870367732,711.902269498374,7181.87548937616,0,-6.90775527898214,-0.136965855073157
"mtwara urban","mtwara urban",1182.23895094706,112674.2796,2,11.9931019495996,3.91162049566646,36.7710759601649,83.3812640134679,27.1952879780653,255.648522423855,0.0119931019495996,0.00391162049566646,0.0367710759601649,1351.31412234049,440.739021417813,4143.15449392846,0,-5.52146091786225,-1.2837377727948
"magharibi","magharibi",NA,424351.4605,7,12.9424496753682,4.03132079997169,41.5513951657273,77.2651256201657,24.0665805807846,248.057658920873,0.0129424496753682,0.00403132079997169,0.0415513951657273,5492.14742219026,1710.69686921201,17632.395224389,0,-4.19970507787993,-2.23492644452023
"tunduma","tunduma",NA,109620.6632,6,13.4555838030475,3.95978510330071,45.7228689834497,74.3185888206139,21.8708935426158,252.538957017249,0.0134555838030475,0.00395978510330071,0.0457228689834497,1475.01002023325,434.074269153304,5012.17122137247,1,-6.21460809842219,-2.03255795578099
"mkoani","mkoani",1390.16952136548,99834.1267,1,13.6809591933969,4.46147907122899,41.9521511730036,73.0942900906138,23.8366799327207,224.14091471341,0.0136809591933969,0.00446147907122899,0.0419521511730036,1365.82661349111,445.407866866473,4188.2563755432,0,-5.11599580975408,-1.34707364796661
"lindi urban","lindi urban",1912.41216319657,90265.0609,7,14.9038347940754,4.84712283345399,45.8260083767693,67.0968253350153,21.8216692970128,206.307955123022,0.0149038347940754,0.00484712283345399,0.0458260083767693,1345.29555533075,437.525837751505,4136.48743693299,0,-5.80914299031403,-0.583396316600826
"kusini","kusini",NA,40827.3768,2,15.8982402336472,5.18700756231011,48.7282965159572,62.9000433572257,20.5219568813067,192.789385399437,0.0158982402336472,0.00518700756231011,0.0487282965159572,649.083444476035,211.771912210885,1989.44852267911,0,-5.52146091786225,-0.689155159290408
"mafia","mafia",NA,47371.4038,1,16.2191675031998,5.30213470834919,49.6142419924967,61.6554456202955,20.1555029330335,188.60328056647,0.0162191675031998,0.00530213470834919,0.0496142419924967,768.324733093916,251.169564271205,2350.29629165748,0,-5.29831736654804,-0.834710744881732
"kaskazini a","kaskazini a",NA,110053.512,2,16.8005590888251,5.49155556029117,51.3986943404681,59.5218286911148,19.4557471319395,182.097766110369,0.0168005590888251,0.00549155556029117,0.0513986943404681,1848.96053128872,604.364975753172,5656.60682438304,0,-5.11599580975408,-0.913793851675568
"tanga urban","tanga urban",NA,278825.9732,1,17.1671367101882,5.53334844202862,53.2608032756105,58.2508322081764,18.7755335725086,180.722398106088,0.0171671367101882,0.00553334844202862,0.0532608032756105,4786.64360027568,1542.84126440333,14850.4953067358,0,-4.3428059215206,-1.51868354916564
"moshi urban","moshi urban",NA,195515.3828,3,17.1755447340179,4.96154813622088,59.4571147575208,58.2223164089464,16.8188450461853,201.549994587311,0.0171755447340179,0.00496154813622088,0.0594571147575208,3358.08320347002,970.058983133852,11624.7805520002,1,-5.11599580975408,-2.44184716032755
"chakechake","chakechake",1655.94366197183,101177.8596,2,17.5248882324747,5.71211019639772,53.7667686723574,57.0617048585188,18.5988487813686,175.066650610249,0.0175248882324747,0.00571211019639772,0.0537667686723574,1773.13068109102,577.939083470857,5440.00657187745,0,-5.29831736654804,-0.671385688778433
"kilwa","kilwa",5056.26437524228,194577.9544,1,18.8129039594868,6.06955088813685,58.311621718278,53.15500478573,17.1492400748399,164.756835955447,0.0188129039594868,0.00606955088813685,0.058311621718278,3660.57636876061,1181.00079594037,11346.1560716892,0,-5.52146091786225,-0.334075112021491
"mkuranga","mkuranga",3965.22706694714,231927.0084,2,20.1368081302368,6.49954868517365,62.3875689398176,49.660303337669,16.0288342211996,153.856836595614,0.0201368081302368,0.00649954868517365,0.0623875689398176,4670.26966837063,1507.42088250248,14469.3622255607,0,-5.29831736654804,-0.378336440719912
"wete","wete",1618.98929111861,110085.1116,1,20.3569469403841,6.61355393240719,62.6599998985382,49.1232797790617,15.9591446156917,151.204633729512,0.0203569469403841,0.00661355393240719,0.0626599998985382,2240.99677576746,728.053822721664,6897.93308168657,0,-4.8283137373023,-0.750776293396582
"nyamagana ","nyamagana ",NA,408374.6672,6,20.3950865021556,6.1409358014886,67.7355319900229,49.0314174394068,14.7633003037061,162.841630710029,0.0203950865021556,0.0061409358014886,0.0677355319900229,8328.83666283299,2507.80261422947,27661.4753340406,1,-5.11599580975408,-2.07944154167984
