"layer","cellID","Region","RegionID","District","DistrictID","Ward","WardID","Village","VillageID","VillCens","VillIDCens","PA","Urban"
1,1,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,2,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,3,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,4,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,5,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,6,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,7,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,8,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,9,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,10,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,11,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,12,"Morogoro",3,"Morogoro",10,"Gwata",26,"Gwataujembe",919,"Gwataujembe",242,0,0
1,13,"Morogoro",3,"Morogoro",10,"Gwata",26,"Gwataujembe",919,"Gwataujembe",242,0,0
1,14,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,15,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,16,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,17,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,18,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,19,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,20,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,21,"Morogoro",3,"Morogoro",10,"Gwata",26,"Gwataujembe",919,"Gwataujembe",242,0,0
1,22,"Morogoro",3,"Morogoro",10,"Gwata",26,"Gwataujembe",919,"Gwataujembe",242,0,0
1,23,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,24,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,25,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,26,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,27,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,28,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,29,"Morogoro",3,"Morogoro",10,"Gwata",26,"Maseyu",1830,"Maseyu",2707,0,0
1,30,"Morogoro",3,"Morogoro",10,"Gwata",26,"Gwataujembe",919,"Gwataujembe",242,0,0
1,31,"Morogoro",3,"Morogoro",10,"Gwata",26,"Gwataujembe",919,"Gwataujembe",242,0,0
1,32,"Morogoro",3,"Morogoro",10,"Gwata",26,"Gwataujembe",919,"Gwataujembe",242,0,0
1,33,"Morogoro",3,"Morogoro",10,"Gwata",26,"Gwataujembe",919,"Gwataujembe",242,0,0
