,Region,District,ID,Species,Symptoms.started,Cluster_No,date_onset,days_in
2,Mtwara,Mtwara,2,1,11/04/2014,1,11/04/2014,1196
3,Mtwara,Mtwara,3,1,12/12/2012,2,12/12/2012,711
4,Mtwara,Mtwara,6,2,16/02/2013,3,16/02/2013,777
5,Mtwara,Mtwara,7,2,19/02/2013,2,19/02/2013,780
6,Mtwara,Mtwara,4,1,25/08/2014,1,25/08/2014,1332
7,Mtwara,Mtwara,1,1,10/01/2013,2,10/01/2013,740
8,Mtwara,Mtwara,9,4,05/06/2014,4,05/06/2014,1251
9,Mtwara,Mtwara,8,2,19/05/2014,4,19/05/2014,1234
12,Mtwara,Mtwara,12,1,11/08/2011,5,11/08/2011,222
13,Mtwara,Mtwara,13,1,12/12/2011,5,12/12/2011,345
14,Mtwara,Mtwara,14,1,11/11/2011,5,11/11/2011,314
15,Mtwara,Mtwara,15,1,10/04/2012,5,10/04/2012,465
16,Mtwara,Mtwara,16,2,29/07/2011,5,29/07/2011,209
17,Mtwara,Mtwara,17,2,11/09/2011,5,11/09/2011,253
20,Mtwara,Mtwara,22,2,31/03/2012,6,31/03/2012,455
21,Mtwara,Mtwara,23,1,15/03/2012,6,15/03/2012,439
22,Mtwara,Mtwara,24,2,15/03/2012,6,15/03/2012,439
23,Mtwara,Mtwara,18,2,15/11/2014,7,15/11/2014,1414
24,Mtwara,Mtwara,19,2,11/09/2011,5,11/09/2011,253
25,Mtwara,Mtwara,25,2,15/06/2013,8,15/06/2013,896
26,Mtwara,Mtwara,26,2,10/07/2013,8,10/07/2013,921
27,Mtwara,Mtwara,27,2,15/02/2012,6,15/02/2012,410
28,Mtwara,Mtwara,28,2,21/06/2012,9,21/06/2012,537
29,Mtwara,Mtwara,29,2,12/08/2013,10,12/08/2013,954
30,Mtwara,Mtwara,30,2,15/06/2013,10,15/06/2013,896
31,Mtwara,Mtwara,31,2,07/09/2013,10,07/09/2013,980
34,Mtwara,Mtwara,40,1,17/02/2012,11,17/02/2012,412
35,Mtwara,Mtwara,41,1,18/02/2012,11,18/02/2012,413
36,Mtwara,Mtwara,39,1,06/02/2012,11,06/02/2012,401
37,Mtwara,Mtwara,37,1,06/02/2012,11,06/02/2012,401
38,Mtwara,Mtwara,38,1,04/02/2012,11,04/02/2012,399
39,Mtwara,Mtwara,36,1,03/02/2012,11,03/02/2012,398
40,Mtwara,Mtwara,34,1,31/01/2012,11,31/01/2012,395
41,Mtwara,Mtwara,35,1,03/02/2012,11,03/02/2012,398
42,Mtwara,Mtwara,46,2,14/08/2014,12,14/08/2014,1321
43,Mtwara,Mtwara,45,2,02/08/2013,2,02/08/2013,944
44,Mtwara,Mtwara,44,2,10/12/2012,2,10/12/2012,709
45,Mtwara,Mtwara,43,2,15/02/2013,2,15/02/2013,776
46,Mtwara,Mtwara,42,2,08/02/2013,2,08/02/2013,769
47,Mtwara,Mtwara,47,2,03/12/2013,2,03/12/2013,1067
48,Mtwara,Mtwara,56,2,15/06/2014,12,15/06/2014,1261
51,Mtwara,Mtwara,60,2,15/06/2014,12,15/06/2014,1261
52,Mtwara,Mtwara,68,2,21/12/2012,13,21/12/2012,720
54,Mtwara,Mtwara,50,2,15/04/2013,2,15/04/2013,835
55,Mtwara,Mtwara,51,2,06/06/2013,2,06/06/2013,887
56,Mtwara,Mtwara,52,2,01/01/2014,14,01/01/2014,1096
57,Mtwara,Mtwara,53,2,28/06/2013,2,28/06/2013,909
58,Mtwara,Mtwara,54,2,15/03/2014,14,15/03/2014,1169
59,Mtwara,Mtwara,55,2,22/08/2014,12,22/08/2014,1329
61,Mtwara,Mtwara,61,2,16/09/2012,2,16/09/2012,624
62,Mtwara,Mtwara,62,2,03/10/2012,2,03/10/2012,641
63,Mtwara,Mtwara,64,2,15/07/2013,15,15/07/2013,926
64,Mtwara,Mtwara,63,2,15/07/2013,15,15/07/2013,926
