"month","species","n"
1,"Dog",4
2,"Dog",9
3,"Dog",7
4,"Dog",3
5,"Dog",10
6,"Dog",7
7,"Dog",9
8,"Dog",23
9,"Dog",27
10,"Dog",6
11,"Dog",7
12,"Dog",20
13,"Dog",9
14,"Dog",9
15,"Dog",14
16,"Dog",13
17,"Dog",7
18,"Dog",18
19,"Dog",2
20,"Dog",6
21,"Dog",4
22,"Dog",15
23,"Dog",0
24,"Dog",3
25,"Dog",4
26,"Dog",2
27,"Dog",2
28,"Dog",1
29,"Dog",2
30,"Dog",2
31,"Dog",2
32,"Dog",2
33,"Dog",1
34,"Dog",0
35,"Dog",2
36,"Dog",0
37,"Dog",0
38,"Dog",5
39,"Dog",3
40,"Dog",2
41,"Dog",1
42,"Dog",3
43,"Dog",6
44,"Dog",2
45,"Dog",0
46,"Dog",2
47,"Dog",1
48,"Dog",2
49,"Dog",2
50,"Dog",5
51,"Dog",4
52,"Dog",11
53,"Dog",1
54,"Dog",0
55,"Dog",2
56,"Dog",2
57,"Dog",0
58,"Dog",2
59,"Dog",1
60,"Dog",0
61,"Dog",0
62,"Dog",1
63,"Dog",7
64,"Dog",1
65,"Dog",1
66,"Dog",3
67,"Dog",0
68,"Dog",1
69,"Dog",0
70,"Dog",0
71,"Dog",0
72,"Dog",3
73,"Dog",0
74,"Dog",0
75,"Dog",3
76,"Dog",0
77,"Dog",2
78,"Dog",3
79,"Dog",0
80,"Dog",0
81,"Dog",0
82,"Dog",0
83,"Dog",0
84,"Dog",2
85,"Dog",1
86,"Dog",0
87,"Dog",1
88,"Dog",0
89,"Dog",1
90,"Dog",0
91,"Dog",1
92,"Dog",1
93,"Dog",3
94,"Dog",0
95,"Dog",7
96,"Dog",2
97,"Dog",4
98,"Dog",5
99,"Dog",9
100,"Dog",10
101,"Dog",3
102,"Dog",4
103,"Dog",1
1,"Wildlife",4
2,"Wildlife",7
3,"Wildlife",9
4,"Wildlife",15
5,"Wildlife",7
6,"Wildlife",9
7,"Wildlife",5
8,"Wildlife",12
9,"Wildlife",5
10,"Wildlife",2
11,"Wildlife",5
12,"Wildlife",3
13,"Wildlife",3
14,"Wildlife",8
15,"Wildlife",14
16,"Wildlife",11
17,"Wildlife",3
18,"Wildlife",10
19,"Wildlife",3
20,"Wildlife",2
21,"Wildlife",2
22,"Wildlife",2
23,"Wildlife",0
24,"Wildlife",5
25,"Wildlife",0
26,"Wildlife",6
27,"Wildlife",3
28,"Wildlife",4
29,"Wildlife",0
30,"Wildlife",11
31,"Wildlife",4
32,"Wildlife",4
33,"Wildlife",2
34,"Wildlife",3
35,"Wildlife",2
36,"Wildlife",6
37,"Wildlife",1
38,"Wildlife",2
39,"Wildlife",1
40,"Wildlife",5
41,"Wildlife",2
42,"Wildlife",11
43,"Wildlife",1
44,"Wildlife",6
45,"Wildlife",4
46,"Wildlife",0
47,"Wildlife",5
48,"Wildlife",1
49,"Wildlife",0
50,"Wildlife",0
51,"Wildlife",2
52,"Wildlife",3
53,"Wildlife",2
54,"Wildlife",1
55,"Wildlife",4
56,"Wildlife",0
57,"Wildlife",1
58,"Wildlife",0
59,"Wildlife",0
60,"Wildlife",0
61,"Wildlife",1
62,"Wildlife",6
63,"Wildlife",3
64,"Wildlife",3
65,"Wildlife",3
66,"Wildlife",0
67,"Wildlife",0
68,"Wildlife",0
69,"Wildlife",0
70,"Wildlife",0
71,"Wildlife",0
72,"Wildlife",1
73,"Wildlife",1
74,"Wildlife",1
75,"Wildlife",1
76,"Wildlife",0
77,"Wildlife",0
78,"Wildlife",0
79,"Wildlife",0
80,"Wildlife",0
81,"Wildlife",0
82,"Wildlife",2
83,"Wildlife",0
84,"Wildlife",0
85,"Wildlife",0
86,"Wildlife",1
87,"Wildlife",0
88,"Wildlife",0
89,"Wildlife",7
90,"Wildlife",0
91,"Wildlife",7
92,"Wildlife",0
93,"Wildlife",5
94,"Wildlife",0
95,"Wildlife",1
96,"Wildlife",0
97,"Wildlife",0
98,"Wildlife",0
99,"Wildlife",0
100,"Wildlife",0
101,"Wildlife",0
102,"Wildlife",0
103,"Wildlife",1
