"ID","biter_ID","SS","SS_uncert","biter_SS","biter_SS_uncert","Serial_Interval"
3777,3778,2008-08-02,0,2008-07-25,7,8
4867,4866,2010-11-25,7,2010-10-15,7,41
6537,6536,2011-09-25,7,2011-09-13,0,12
6541,6540,2011-07-15,7,2011-07-02,0,13
6554,6553,2011-10-01,0,2011-09-05,7,26
6810,6809,2012-01-20,0,2011-11-15,7,66
6811,6809,2012-01-30,0,2011-11-15,7,76
6812,6809,2012-02-02,0,2011-11-15,7,79
6814,6809,2012-01-25,0,2011-11-15,7,71
6824,5550,2011-09-15,0,2011-02-25,7,202
7028,6773,2012-02-05,7,2012-01-23,0,13
7029,6773,2012-02-05,7,2012-01-23,0,13
7194,7195,2012-04-11,0,2012-04-05,7,6
7238,7225,2012-05-17,0,2012-05-12,0,5
7248,7242,2012-05-05,7,2012-04-25,0,10
7296,7300,2012-02-05,7,2012-01-23,0,13
7297,7300,2012-02-05,7,2012-01-23,0,13
7298,7300,2012-02-05,7,2012-01-23,0,13
7325,7323,2012-05-21,0,2012-04-12,0,39
7354,7355,2012-06-10,0,2012-04-12,0,59
7361,7362,2012-03-25,7,2012-03-05,7,20
7416,7427,2009-02-15,28,2009-02-01,28,14
7423,7424,2012-03-15,7,2012-02-15,7,29
7429,7428,2012-02-25,7,2012-02-15,7,10
7507,7510,2012-05-25,7,2012-05-15,7,10
7548,7549,2012-08-01,0,2012-07-13,0,19
7711,7710,2012-08-15,7,2012-07-15,28,31
7820,7819,2012-07-15,0,2012-07-05,7,10
7958,7956,2013-03-25,0,2013-03-21,0,4
7969,7968,2011-04-25,0,2011-04-18,0,7
8066,8065,2013-02-15,7,2013-01-15,7,31
8127,8116,2013-01-23,0,2012-12-16,0,38
8293,8276,2013-01-15,28,2012-09-27,0,110
8294,8276,2012-10-25,7,2012-09-27,0,28
8688,7970,2011-05-25,7,2011-05-15,7,10
8690,7972,2012-07-05,7,2012-06-30,0,5
8902,8901,2014-01-29,0,2014-01-06,0,23
8927,8926,2014-01-15,7,2014-01-01,0,14
8928,8926,2014-01-28,0,2014-01-01,0,27
8992,8944,2014-05-13,0,2014-04-11,0,32
9010,9002,2014-06-20,0,2014-06-10,0,10
9021,9002,2014-07-01,0,2014-06-10,0,21
9032,9031,2014-07-01,0,2014-06-26,0,5
9039,9031,2014-07-02,0,2014-06-26,0,6
9040,9031,2014-07-03,0,2014-06-26,0,7
9120,9119,2013-10-20,0,2013-10-07,0,13
9654,9558,2014-11-13,0,2014-10-22,0,22
9655,9558,2014-11-20,0,2014-10-22,0,29
9657,9558,2014-11-13,0,2014-10-22,0,22
9687,9558,2014-10-25,0,2014-10-22,0,3
9784,9424,2014-11-28,0,2014-10-06,0,53
2824,2825,2007-06-18,0,2007-06-15,7,3
2839,2833,2007-05-10,7,2007-05-05,7,5
2947,2941,2007-09-06,0,2007-08-25,7,12
3081,3079,2007-12-03,0,2007-09-15,7,79
3540,3541,2008-03-09,0,2008-02-21,0,17
3543,3541,2008-02-25,7,2008-02-21,0,4
3544,3541,2008-02-25,7,2008-02-21,0,4
3545,3541,2008-02-25,7,2008-02-21,0,4
3546,3541,2008-03-01,0,2008-02-21,0,9
3684,3683,2008-06-06,0,2008-05-25,7,12
3721,3781,2008-08-07,0,2008-07-15,7,23
3723,3756,2008-08-07,0,2008-07-21,0,17
3727,3728,2009-01-17,0,2008-12-15,28,33
3782,3781,2008-07-25,7,2008-07-15,7,10
3901,3900,2007-04-05,7,2007-03-29,0,7
4028,3995,2009-05-15,7,2009-04-09,0,36
4037,4030,2007-11-25,7,2007-11-22,0,3
4111,3783,2008-08-15,7,2008-08-03,0,12
4131,4130,2009-12-23,0,2009-12-22,0,1
4136,4130,2009-12-29,7,2009-12-22,0,7
4560,4550,2010-10-18,0,2010-09-06,0,42
4592,4581,2010-10-18,0,2010-10-04,0,14
4640,4641,2010-09-09,0,2010-08-05,7,35
5085,5084,2011-01-25,7,2011-01-15,7,10
5169,5250,2010-12-19,0,2010-11-05,7,44
5309,5310,2011-06-09,0,2011-05-15,7,25
5902,5901,2011-04-05,7,2011-03-05,7,31
5945,5944,2011-04-25,7,2011-04-05,7,20
8681,6773,2012-02-05,7,2012-01-23,0,13
7116,7467,2012-07-04,0,2012-06-25,7,9
7122,7121,2012-06-16,7,2012-05-25,7,22
7327,7328,2012-03-05,7,2012-02-25,7,9
8566,7858,2013-01-03,0,2012-12-29,0,5
9304,3833,2009-05-15,7,2008-09-16,0,241
9479,9478,2014-06-28,0,2014-04-29,0,60
1709,1606,2004-10-25,7,2004-10-25,0,0.5
1710,1606,2004-10-29,0,2004-10-25,0,4
