"District","Round_1","Round_2","Round_3","Round_4","Round_5"
"Masasi",0.291022531810558,0.281913752413645,0.34154438938096,0.344900523820781,0.281953929572169
"Masasi Township Authority",0.0327289632728963,0.153778818260471,0.00817124078514966,0.264550789978053,0.157586320882291
"Mtwara Rural",0.144510105775438,0.256538413955215,0.257504304214387,0.334999352583193,0.268465360554025
"Mtwara Urban",0.349447441470696,0.240464605242505,0.33748242279048,0.327374766160881,0.375893995675556
"Newala",0.241782059000602,0.267062314540059,0.392454515012836,0.22072157159048,0.198104555181902
"Tandahimba",0.2277875259212,0.238510275624739,0.31360175595034,0.352289669861555,0.327295014982294
"Nanyumbu",0.210063453189358,0.248438930979935,0.443163144693978,0.42386961760416,0.420171609212705
"Lindi Rural",0.229943071776513,0.313530661718493,0.219135110911943,0.338847183665424,0.331967005718334
"Lindi Urban",0.601314501468326,0.525468198679092,0.489323453325733,0.579551293029628,0.501384933484181
"Kilwa",0.235217974203689,0.359638526582975,0.39123414071511,0.382410008847772,0.470135331220942
"Liwale",0.131045985227543,0.185555974069742,0.16854824484036,0.251706695907467,0.196534427724578
"Ruangwa",0.269982934818854,0.274770318021201,0.29820801605034,0.454198678343094,0.547605821575381
"Nachingwea",0.34075752577911,0.472417815024407,0.544551431464901,0.548875727239373,0.467774437580523
