"Species","Suspect","ID"
"Domestic dog","Yes",5
"Domestic dog","Yes",2
"Domestic dog","Yes",3
"Wildlife: Jackal","Yes",6
"Wildlife: Jackal","Yes",7
"Domestic dog","Yes",4
"Domestic dog","Yes",1
"Cat","Yes",9
"Wildlife: Jackal","Yes",8
"Domestic dog","Yes",11
"Domestic dog","Yes",10
"Domestic dog","Yes",12
"Domestic dog","Yes",13
"Domestic dog","Yes",14
"Domestic dog","Yes",15
"Wildlife: Jackal","Yes",16
"Wildlife: Jackal","Yes",17
"Domestic dog","Yes",20
"Wildlife: Jackal","Yes",21
"Wildlife: Hyena","Yes",22
"Domestic dog","Yes",23
"Wildlife: Jackal","Yes",24
"Wildlife: Hyena","Yes",18
"Wildlife: Jackal","Yes",19
"Wildlife: Jackal","Yes",25
"Wildlife: Jackal","Yes",26
"Wildlife: Jackal","Yes",27
"Wildlife: Jackal","Yes",28
"Wildlife: Jackal","Yes",29
"Wildlife: Jackal","Yes",30
"Wildlife: Jackal","Yes",31
"Domestic dog","Yes",32
"Domestic dog","Yes",33
"Domestic dog","Yes",40
"Domestic dog","Yes",41
"Domestic dog","Yes",39
"Domestic dog","Yes",37
"Domestic dog","Yes",38
"Domestic dog","Yes",36
"Domestic dog","Yes",34
"Domestic dog","Yes",35
"Wildlife: Jackal","Yes",46
"Wildlife: Jackal","Yes",45
"Wildlife: Jackal","Yes",44
"Wildlife: Jackal","Yes",43
"Wildlife: Jackal","Yes",42
"Wildlife: Jackal","Yes",47
"Wildlife: Jackal","Yes",56
"Wildlife: Jackal","Yes",57
"Wildlife: Jackal","Yes",59
"Wildlife: Jackal","Yes",60
"Wildlife: Jackal","Yes",68
"Wildlife: Jackal","Yes",49
"Wildlife: Jackal","Yes",50
"Wildlife: Jackal","Yes",51
"Wildlife: Jackal","Yes",52
"Wildlife: Jackal","Yes",53
"Wildlife: Jackal","Yes",54
"Wildlife: Jackal","Yes",55
"Wildlife: Jackal","Yes",58
"Wildlife: Jackal","Yes",61
"Wildlife: Jackal","Yes",62
"Wildlife: Jackal","Yes",64
"Wildlife: Jackal","Yes",63
"Wildlife: Jackal","Yes",65
"Wildlife: Jackal","Yes",67
"Domestic dog","Yes",69
"Domestic dog","Yes",70
"Wildlife: Jackal","Yes",71
"Wildlife: Jackal","Yes",72
"Wildlife: Jackal","Yes",73
"Wildlife: Jackal","Yes",76
"Wildlife: Jackal","Yes",74
"Wildlife: Jackal","Yes",75
"Wildlife: Jackal","Yes",77
"Wildlife: Jackal","Yes",78
"Wildlife: Jackal","Yes",79
"Domestic dog","Yes",66
"Wildlife: Jackal","Yes",80
"Wildlife: Jackal","Yes",82
"Wildlife: Jackal","Yes",81
"Domestic dog","Yes",83
"Wildlife: Jackal","Yes",84
"Wildlife: Jackal","Yes",85
"Wildlife: Jackal","Yes",86
"Wildlife: Jackal","Yes",87
"Wildlife: Jackal","Yes",88
"Domestic dog","Yes",89
"Domestic dog","Yes",90
"Domestic dog","Yes",91
"Domestic dog","Yes",92
"Wildlife: Jackal","Yes",93
"Domestic dog","Yes",94
"Wildlife: Jackal","Yes",96
"Domestic dog","Yes",95
"Wildlife: Jackal","Yes",99
"Wildlife: Jackal","Yes",100
"Wildlife: Jackal","Yes",102
"Domestic dog","Yes",98
"Domestic dog","Yes",103
"Wildlife: Jackal","Yes",97
"Wildlife: Jackal","Yes",101
"Wildlife: Jackal","Yes",106
"Wildlife: Jackal","Yes",105
"Wildlife: Jackal","Yes",104
"Domestic dog","Yes",107
"Domestic dog","Yes",108
"Domestic dog","Yes",109
"Wildlife: Jackal","Yes",110
"Domestic dog","Yes",111
"Wildlife: Jackal","Yes",113
"Wildlife: Jackal","Yes",112
"Wildlife: Jackal","Yes",115
"Wildlife: Jackal","Yes",116
"Wildlife: Jackal","Yes",117
