"month","species","n"
1,"dog",4
2,"dog",5
3,"dog",8
4,"dog",4
5,"dog",4
6,"dog",5
7,"dog",7
8,"dog",14
9,"dog",6
10,"dog",4
11,"dog",6
12,"dog",10
13,"dog",9
14,"dog",8
15,"dog",10
16,"dog",5
17,"dog",5
18,"dog",16
19,"dog",4
20,"dog",8
21,"dog",3
22,"dog",8
23,"dog",3
24,"dog",3
25,"dog",4
26,"dog",2
27,"dog",2
28,"dog",3
29,"dog",2
30,"dog",2
31,"dog",3
32,"dog",2
33,"dog",1
34,"dog",0
35,"dog",1
36,"dog",0
37,"dog",4
38,"dog",4
39,"dog",4
40,"dog",3
41,"dog",1
42,"dog",3
43,"dog",5
44,"dog",2
45,"dog",0
46,"dog",1
47,"dog",1
48,"dog",1
49,"dog",1
50,"dog",2
51,"dog",4
52,"dog",3
53,"dog",1
54,"dog",4
55,"dog",2
56,"dog",2
57,"dog",0
58,"dog",1
59,"dog",1
60,"dog",0
61,"dog",1
62,"dog",1
63,"dog",4
64,"dog",1
65,"dog",1
66,"dog",3
67,"dog",0
68,"dog",1
69,"dog",0
70,"dog",0
71,"dog",0
72,"dog",1
73,"dog",0
74,"dog",4
75,"dog",1
76,"dog",0
77,"dog",2
78,"dog",3
79,"dog",0
80,"dog",0
81,"dog",0
82,"dog",0
83,"dog",0
84,"dog",2
85,"dog",1
86,"dog",1
87,"dog",2
88,"dog",2
89,"dog",1
90,"dog",1
91,"dog",0
92,"dog",2
93,"dog",2
94,"dog",1
95,"dog",3
96,"dog",3
97,"dog",10
98,"dog",2
99,"dog",4
100,"dog",5
101,"dog",0
102,"dog",5
103,"dog",2
1,"other_dom",0
2,"other_dom",0
3,"other_dom",0
4,"other_dom",0
5,"other_dom",0
6,"other_dom",0
7,"other_dom",0
8,"other_dom",0
9,"other_dom",1
10,"other_dom",0
11,"other_dom",0
12,"other_dom",0
13,"other_dom",0
14,"other_dom",0
15,"other_dom",0
16,"other_dom",0
17,"other_dom",0
18,"other_dom",0
19,"other_dom",1
20,"other_dom",1
21,"other_dom",0
22,"other_dom",0
23,"other_dom",0
24,"other_dom",0
25,"other_dom",1
26,"other_dom",0
27,"other_dom",1
28,"other_dom",0
29,"other_dom",0
30,"other_dom",0
31,"other_dom",1
32,"other_dom",0
33,"other_dom",0
34,"other_dom",0
35,"other_dom",0
36,"other_dom",1
37,"other_dom",0
38,"other_dom",0
39,"other_dom",0
40,"other_dom",0
41,"other_dom",0
42,"other_dom",2
43,"other_dom",0
44,"other_dom",0
45,"other_dom",0
46,"other_dom",0
47,"other_dom",0
48,"other_dom",0
49,"other_dom",0
50,"other_dom",0
51,"other_dom",0
52,"other_dom",0
53,"other_dom",1
54,"other_dom",0
55,"other_dom",0
56,"other_dom",0
57,"other_dom",0
58,"other_dom",0
59,"other_dom",0
60,"other_dom",0
61,"other_dom",0
62,"other_dom",0
63,"other_dom",0
64,"other_dom",0
65,"other_dom",0
66,"other_dom",0
67,"other_dom",0
68,"other_dom",0
69,"other_dom",0
70,"other_dom",0
71,"other_dom",0
72,"other_dom",0
73,"other_dom",0
74,"other_dom",0
75,"other_dom",0
76,"other_dom",0
77,"other_dom",0
78,"other_dom",0
