"X","ID","Biter_ID","Freq","prop"
1,5,1,782,1.564
2,5,2,125,0.25
3,5,3,25,0.05
4,5,4,233,0.466
5,5,6,18,0.036
6,5,7,220,0.44
7,5,8,2723,5.446
8,5,9,1803,3.606
9,5,10,2571,5.142
10,5,21,30098,60.196
11,5,23,1,0.002
12,5,26,2,0.004
13,5,27,1,0.002
14,5,42,542,1.084
15,5,43,800,1.6
16,5,44,365,0.73
17,5,45,518,1.036
18,5,46,5207,10.414
19,5,47,2364,4.728
20,5,49,19,0.038
21,5,50,87,0.174
22,5,51,36,0.072
23,5,52,3,0.006
24,5,55,7,0.014
25,5,56,5,0.01
26,5,57,464,0.928
27,5,59,1,0.002
28,5,60,72,0.144
29,5,61,312,0.624
30,5,62,461,0.922
31,5,63,94,0.188
32,5,64,13,0.026
33,5,65,1,0.002
34,5,69,12,0.024
35,5,70,11,0.022
36,5,89,4,0.008
37,2,1,468,0.936
38,2,3,11283,22.566
39,2,6,9724,19.448
40,2,7,836,1.672
41,2,25,2,0.004
42,2,26,2,0.004
43,2,42,84,0.168
44,2,43,163,0.326
45,2,44,98,0.196
46,2,45,826,1.652
47,2,47,4941,9.882
48,2,50,5,0.01
49,2,51,10,0.02
50,2,52,13,0.026
51,2,53,2,0.004
52,2,54,676,1.352
53,2,59,1,0.002
54,2,61,45,0.09
55,2,62,67,0.134
56,2,63,18,0.036
57,2,64,4,0.008
58,2,69,16998,33.996
59,2,70,3734,7.468
60,3,20,42,0.084
61,3,44,24797,49.594
62,3,61,1556,3.112
63,3,62,4600,9.2
64,3,70,19005,38.01
65,6,1,8073,16.146
66,6,3,8767,17.534
67,6,42,6380,12.76
68,6,43,10103,20.206
69,6,44,1222,2.444
70,6,61,17,0.034
71,6,62,48,0.096
72,6,70,15390,30.78
73,7,1,11178,22.356
74,7,3,271,0.542
75,7,6,5912,11.824
76,7,42,13538,27.076
77,7,43,16326,32.652
78,7,44,2688,5.376
79,7,49,1,0.002
80,7,61,8,0.016
81,7,62,34,0.068
82,7,70,44,0.088
83,4,1,2,0.004
84,4,2,34709,69.418
85,4,3,17,0.034
86,4,6,89,0.178
87,4,7,4,0.008
88,4,8,368,0.736
89,4,9,1585,3.17
90,4,42,1,0.002
91,4,43,4,0.008
92,4,45,3,0.006
93,4,46,12461,24.922
94,4,47,8,0.016
95,4,51,1,0.002
96,4,55,45,0.09
97,4,56,17,0.034
98,4,58,31,0.062
99,4,60,442,0.884
100,4,61,1,0.002
101,4,69,153,0.306
102,4,70,59,0.118
103,1,3,8120,16.24
104,1,20,4,0.008
105,1,44,40051,80.102
106,1,49,1,0.002
107,1,61,402,0.804
108,1,62,1170,2.34
109,1,70,252,0.504
110,9,2,171,0.342
111,9,8,49826,99.652
112,9,61,2,0.004
