"ID","biter_ID","ID_species","Biter_species","ID_Time_diff","Biter_Time_diff","ID_lat","ID_long","Biter_lat","Biter_long","Year","ID_accuracy","Biter_accuracy","Serial_Int","Bite_dist","Species_trans"
5,21,1,2,1855,1621,NA,NA,NA,NA,2015,0,7,234,11815.1618059561,"WD"
2,69,1,1,1196,832,NA,NA,NA,NA,2013,7,7,364,4518.03421702628,"DD"
3,44,1,2,711,709,NA,NA,NA,NA,2012,7,7,2,8955.78355389375,"WD"
6,70,2,1,777,647,NA,NA,NA,NA,2012,7,7,130,667.350082107568,"DW"
7,43,2,2,780,776,NA,NA,NA,NA,2013,7,7,4,3645.71255374988,"WW"
4,2,1,1,1332,1196,NA,NA,NA,NA,2014,7,7,136,2383.46816098472,"DD"
1,44,1,2,740,709,NA,NA,NA,NA,2012,7,7,31,3167.27743914636,"WD"
9,8,4,2,1251,1234,NA,NA,NA,NA,2014,0,7,17,2381.92374932917,"WC"
8,2,2,1,1234,1196,NA,NA,NA,NA,2014,7,7,38,12318.5177840717,"DW"
11,12,1,1,804,222,NA,NA,NA,NA,2011,7,7,582,703.753185929587,"DD"
10,21,1,2,1789,1621,NA,NA,NA,NA,2015,7,7,168,14512.0544288873,"WD"
12,16,1,2,222,209,NA,NA,NA,NA,2011,7,7,13,6623.64496787784,"WD"
13,14,1,1,345,314,NA,NA,NA,NA,2011,7,7,31,672.545760588262,"DD"
14,19,1,2,314,253,NA,NA,NA,NA,2011,7,7,61,4185.75910927814,"WD"
15,13,1,1,465,345,NA,NA,NA,NA,2011,7,7,120,3165.32516547262,"DD"
16,33,2,1,209,119,NA,NA,NA,NA,2011,7,7,90,10648.8272636918,"DW"
17,12,2,1,253,222,NA,NA,NA,NA,2011,7,7,31,6786.43923097834,"DW"
20,62,1,2,656,641,NA,NA,NA,NA,2012,7,7,15,19882.6140012386,"WD"
21,8,2,2,1621,1234,NA,NA,NA,NA,2014,7,7,387,4872.32120495884,"WW"
22,23,2,1,455,439,NA,NA,NA,NA,2012,7,7,16,110.262372875079,"DW"
23,24,1,2,439,439,NA,NA,NA,NA,2012,7,7,0,5767.88670837154,"WD"
24,27,2,2,439,410,NA,NA,NA,NA,2012,7,7,29,511.572844245902,"WW"
18,11,2,1,1414,804,NA,NA,NA,NA,2013,7,7,610,9731.43011755213,"DW"
19,17,2,2,253,253,NA,NA,NA,NA,2011,7,7,0,9499.97173475401,"WW"
25,24,2,2,896,439,NA,NA,NA,NA,2012,7,7,457,2403.15203576761,"WW"
26,25,2,2,921,896,NA,NA,NA,NA,2013,7,7,25,13.4186188714736,"WW"
27,65,2,2,410,368,NA,NA,NA,NA,2012,7,7,42,10103.2424365637,"WW"
28,88,2,2,537,507,NA,NA,NA,NA,2012,7,7,30,6423.12008923072,"WW"
29,30,2,2,954,896,NA,NA,NA,NA,2013,7,7,58,6897.43713728552,"WW"
30,81,2,2,896,843,NA,NA,NA,NA,2013,7,7,53,6770.21860805479,"WW"
31,29,2,2,980,954,NA,NA,NA,NA,2013,7,7,26,68.0412101989964,"WW"
32,41,1,1,642,413,NA,NA,NA,NA,2012,7,7,229,913.885217011089,"DD"
33,151,1,2,119,92,NA,NA,NA,NA,2011,7,7,27,32110.0849263046,"WD"
