"layer","cellID","District","DistrictID","Village","VillageID","PA"
1,1,"Serengeti",1,"Machochwe",23,1
1,2,"Serengeti",1,"Machochwe",23,1
1,3,"Serengeti",1,"Machochwe",23,1
1,4,"Serengeti",1,"Machochwe",23,1
1,5,"Serengeti",1,"Machochwe",23,1
1,6,"Serengeti",1,"Machochwe",23,1
1,7,"Serengeti",1,"Machochwe",23,1
1,8,"Serengeti",1,"Machochwe",23,1
1,9,"Serengeti",1,"Machochwe",23,1
1,10,"Serengeti",1,"Machochwe",23,1
1,11,"Serengeti",1,"Machochwe",23,1
1,12,"Serengeti",1,"Machochwe",23,1
1,13,"Serengeti",1,"Machochwe",23,1
1,14,"Serengeti",1,"Machochwe",23,1
1,15,"Serengeti",1,"Machochwe",23,1
1,16,"Serengeti",1,"Machochwe",23,1
1,17,"Serengeti",1,"Majimoto",65,0
1,18,"Serengeti",1,"Machochwe",23,1
1,19,"Serengeti",1,"Machochwe",23,1
1,20,"Serengeti",1,"Machochwe",23,1
1,21,"Serengeti",1,"Machochwe",23,1
1,22,"Serengeti",1,"Machochwe",23,1
1,23,"Serengeti",1,"Machochwe",23,1
1,24,"Serengeti",1,"Machochwe",23,1
1,25,"Serengeti",1,"Machochwe",23,1
1,26,"Serengeti",1,"Machochwe",23,1
1,27,"Serengeti",1,"Machochwe",23,1
1,28,"Serengeti",1,"Hekwe",1,0
1,29,"Serengeti",1,"Majimoto",65,0
1,30,"Serengeti",1,"Nyansurumunti",9,0
1,31,"Serengeti",1,"Nyansurumunti",9,0
1,32,"Serengeti",1,"Nyansurumunti",9,0
1,33,"Serengeti",1,"Bunchachari",10,0
1,34,"Serengeti",1,"Bunchachari",10,0
1,35,"Serengeti",1,"Borenga",12,0
1,36,"Serengeti",1,"Machochwe",23,1
1,37,"Serengeti",1,"Machochwe",23,1
1,38,"Serengeti",1,"Machochwe",23,1
1,39,"Serengeti",1,"Machochwe",23,1
1,40,"Serengeti",1,"Machochwe",23,1
1,41,"Serengeti",1,"Machochwe",23,1
1,42,"Serengeti",1,"Machochwe",23,1
1,43,"Serengeti",1,"Machochwe",23,1
1,44,"Serengeti",1,"Machochwe",23,1
1,45,"Serengeti",1,"Machochwe",23,1
1,46,"Serengeti",1,"Machochwe",23,1
1,47,"Serengeti",1,"Machochwe",23,1
1,48,"Serengeti",1,"Hekwe",1,0
1,49,"Serengeti",1,"Majimoto",65,0
1,50,"Serengeti",1,"Iseresere",68,0
1,51,"Serengeti",1,"Busawe",6,0
1,52,"Serengeti",1,"Gentamome",7,0
1,53,"Serengeti",1,"Nyansurumunti",9,0
1,54,"Serengeti",1,"Nyansurumunti",9,0
1,55,"Serengeti",1,"Nyansurumunti",9,0
1,56,"Serengeti",1,"Nyansurumunti",9,0
1,57,"Serengeti",1,"Bunchachari",10,0
1,58,"Serengeti",1,"Bunchachari",10,0
1,59,"Serengeti",1,"Nyiboko",11,0
1,60,"Serengeti",1,"Borenga",12,0
1,61,"Serengeti",1,"Borenga",12,0
1,62,"Serengeti",1,"Borenga",12,0
1,63,"Serengeti",1,"Machochwe",23,1
1,64,"Serengeti",1,"Machochwe",23,1
1,65,"Serengeti",1,"Machochwe",23,1
1,66,"Serengeti",1,"Machochwe",23,1
1,67,"Serengeti",1,"Machochwe",23,1
1,68,"Serengeti",1,"Machochwe",23,1
1,69,"Serengeti",1,"Machochwe",23,1
1,70,"Serengeti",1,"Machochwe",23,1
1,71,"Serengeti",1,"Machochwe",23,1
1,72,"Serengeti",1,"Machochwe",23,1
1,73,"Serengeti",1,"Machochwe",23,1
1,74,"Serengeti",1,"Machochwe",23,1
1,75,"Serengeti",1,"Machochwe",23,1
1,76,"Serengeti",1,"Hekwe",1,0
1,77,"Serengeti",1,"Hekwe",1,0
1,78,"Serengeti",1,"Majimoto",65,0
1,79,"Serengeti",1,"Iseresere",68,0
1,80,"Serengeti",1,"Iseresere",68,0
1,81,"Serengeti",1,"Busawe",6,0
1,82,"Serengeti",1,"Gentamome",7,0
1,83,"Serengeti",1,"Nyansurumunti",9,0
1,84,"Serengeti",1,"Nyansurumunti",9,0
1,85,"Serengeti",1,"Bunchachari",10,0
1,86,"Serengeti",1,"Bunchachari",10,0
1,87,"Serengeti",1,"Bunchachari",10,0
1,88,"Serengeti",1,"Nyiboko",11,0
1,89,"Serengeti",1,"Borenga",12,0
1,90,"Serengeti",1,"Borenga",12,0
1,91,"Serengeti",1,"Borenga",12,0
1,92,"Serengeti",1,"Machochwe",23,1
1,93,"Serengeti",1,"Machochwe",23,1
1,94,"Serengeti",1,"Machochwe",23,1
1,95,"Serengeti",1,"Machochwe",23,1
1,96,"Serengeti",1,"Machochwe",23,1
1,97,"Serengeti",1,"Machochwe",23,1
1,98,"Serengeti",1,"Machochwe",23,1
1,99,"Serengeti",1,"Machochwe",23,1
1,100,"Serengeti",1,"Machochwe",23,1
1,101,"Serengeti",1,"Machochwe",23,1
1,102,"Serengeti",1,"Machochwe",23,1
1,103,"Serengeti",1,"Machochwe",23,1
1,104,"Serengeti",1,"Machochwe",23,1
1,105,"Serengeti",1,"Machochwe",23,1
1,106,"Serengeti",1,"Machochwe",23,1
1,107,"Serengeti",1,"Hekwe",1,0
1,108,"Serengeti",1,"Hekwe",1,0
1,109,"Serengeti",1,"Hekwe",1,0
1,110,"Serengeti",1,"Majimoto",65,0
1,111,"Serengeti",1,"Iseresere",68,0
1,112,"Serengeti",1,"Iseresere",68,0
1,113,"Serengeti",1,"Busawe",6,0
1,114,"Serengeti",1,"Gentamome",7,0
1,115,"Serengeti",1,"Gentamome",7,0
1,116,"Serengeti",1,"Nyansurumunti",9,0
1,117,"Serengeti",1,"Nyansurumunti",9,0
1,118,"Serengeti",1,"Bunchachari",10,0
1,119,"Serengeti",1,"Bunchachari",10,0
1,120,"Serengeti",1,"Nyiboko",11,0
1,121,"Serengeti",1,"Nyiboko",11,0
1,122,"Serengeti",1,"Borenga",12,0
1,123,"Serengeti",1,"Borenga",12,0
1,124,"Serengeti",1,"Machochwe",23,1
1,125,"Serengeti",1,"Machochwe",23,1
1,126,"Serengeti",1,"Machochwe",23,1
1,127,"Serengeti",1,"Machochwe",23,1
1,128,"Serengeti",1,"Machochwe",23,1
1,129,"Serengeti",1,"Machochwe",23,1
1,130,"Serengeti",1,"Machochwe",23,1
1,131,"Serengeti",1,"Machochwe",23,1
1,132,"Serengeti",1,"Machochwe",23,1
1,133,"Serengeti",1,"Machochwe",23,1
1,134,"Serengeti",1,"Machochwe",23,1
1,135,"Serengeti",1,"Machochwe",23,1
1,136,"Serengeti",1,"Machochwe",23,1
1,137,"Serengeti",1,"Machochwe",23,1
1,138,"Serengeti",1,"Machochwe",23,1
1,139,"Serengeti",1,"Machochwe",23,1
1,140,"Serengeti",1,"Hekwe",1,0
1,141,"Serengeti",1,"Hekwe",1,0
1,142,"Serengeti",1,"Hekwe",1,0
1,143,"Serengeti",1,"Majimoto",65,0
1,144,"Serengeti",1,"Iseresere",66,0
1,145,"Serengeti",1,"Iseresere",68,0
1,146,"Serengeti",1,"Iseresere",68,0
1,147,"Serengeti",1,"Busawe",6,0
1,148,"Serengeti",1,"Gentamome",7,0
1,149,"Serengeti",1,"Nyamhuru",8,0
1,150,"Serengeti",1,"Nyamhuru",8,0
1,151,"Serengeti",1,"Bunchachari",10,0
1,152,"Serengeti",1,"Bunchachari",10,0
1,153,"Serengeti",1,"Nyiboko",11,0
1,154,"Serengeti",1,"Nyiboko",11,0
1,155,"Serengeti",1,"Nyiboko",11,0
1,156,"Serengeti",1,"Merenga",74,1
1,157,"Serengeti",1,"Machochwe",23,1
1,158,"Serengeti",1,"Machochwe",23,1
1,159,"Serengeti",1,"Machochwe",23,1
1,160,"Serengeti",1,"Machochwe",23,1
1,161,"Serengeti",1,"Machochwe",23,1
1,162,"Serengeti",1,"Machochwe",23,1
1,163,"Serengeti",1,"Machochwe",23,1
1,164,"Serengeti",1,"Machochwe",23,1
1,165,"Serengeti",1,"Machochwe",23,1
1,166,"Serengeti",1,"Machochwe",23,1
1,167,"Serengeti",1,"Machochwe",23,1
1,168,"Serengeti",1,"Machochwe",23,1
1,169,"Serengeti",1,"Machochwe",23,1
1,170,"Serengeti",1,"Machochwe",23,1
1,171,"Serengeti",1,"Machochwe",23,1
1,172,"Serengeti",1,"Machochwe",23,1
1,173,"Serengeti",1,"Nyamakendo",24,1
1,174,"Serengeti",1,"Nyamakendo",24,1
1,175,"Serengeti",1,"Mbalibali",85,1
1,176,"Serengeti",1,"Hekwe",1,0
1,177,"Serengeti",1,"Hekwe",1,0
1,178,"Serengeti",1,"Hekwe",1,0
1,179,"Serengeti",1,"Majimoto",65,0
1,180,"Serengeti",1,"Iseresere",66,0
1,181,"Serengeti",1,"Iseresere",68,0
1,182,"Serengeti",1,"Nyamakobiti",67,0
1,183,"Serengeti",1,"Busawe",6,0
1,184,"Serengeti",1,"Busawe",6,0
1,185,"Serengeti",1,"Gentamome",7,0
1,186,"Serengeti",1,"Nyamhuru",8,0
1,187,"Serengeti",1,"Nyamhuru",8,0
1,188,"Serengeti",1,"Nyiboko",11,0
1,189,"Serengeti",1,"Nyiboko",11,0
1,190,"Serengeti",1,"Nyiboko",11,0
1,191,"Serengeti",1,"Nyiboko",11,0
1,192,"Serengeti",1,"Marasomoche",72,0
1,193,"Serengeti",1,"Merenga",74,1
1,194,"Serengeti",1,"Merenga",74,1
1,195,"Serengeti",1,"Machochwe",23,1
1,196,"Serengeti",1,"Machochwe",23,1
1,197,"Serengeti",1,"Machochwe",23,1
1,198,"Serengeti",1,"Machochwe",23,1
1,199,"Serengeti",1,"Machochwe",23,1
1,200,"Serengeti",1,"Machochwe",23,1
1,201,"Serengeti",1,"Machochwe",23,1
1,202,"Serengeti",1,"Machochwe",23,1
1,203,"Serengeti",1,"Machochwe",23,1
1,204,"Serengeti",1,"Machochwe",23,1
1,205,"Serengeti",1,"Machochwe",23,1
1,206,"Serengeti",1,"Machochwe",23,1
1,207,"Serengeti",1,"Nyamakendo",24,1
1,208,"Serengeti",1,"Nyamakendo",24,1
1,209,"Serengeti",1,"Nyamakendo",24,1
1,210,"Serengeti",1,"Mbalibali",85,1
1,211,"Serengeti",1,"Mbalibali",85,1
1,212,"Serengeti",1,"Mbalibali",85,1
1,213,"Serengeti",1,"Mbalibali",85,1
1,214,"Serengeti",1,"Tamkeri",86,1
1,215,"Serengeti",1,"Hekwe",1,0
1,216,"Serengeti",1,"Hekwe",1,0
