"","District","Total_Area","Area_above0","Pop","Pop18","Numdogs","Numdogs.lwr","Numdogs.upr","totes_dom","totes_wild"
"1","Kilwa",15044,13864,190744,201278.729847271,3660.57636876061,1181.00079594037,11346.1560716892,61,3
"2","Lindi Rural",5984,5848,194143,204865.45552541,2261.14870367732,711.902269498374,7181.87548937616,23,6
"3","Lindi Urban",1052,1012,78841,83195.3631038918,1345.29555533075,437.525837751505,4136.48743693299,11,0
"4","Liwale",34296,14288,91380,96426.8880459866,2235.73763714421,717.42767902266,6967.28454769488,22,8
"5","Masasi",3992,3976,247993,266392.809024815,6166.75317269195,1980.17706618271,19204.769786682,30,7
"6","Masasi Township Authority",776,776,102696,110315.516629955,2589.45390880913,831.41928273376,8064.84969148119,23,3
"7","Mtwara Rural",3704,3572,228003,244919.653522821,2703.03967551896,852.523791595432,8570.34555452845,24,60
"8","Mtwara Urban",168,164,108299,116334.230500774,1351.31412234049,440.739021417813,4143.15449392846,7,2
"9","Nachingwea",6000,5992,178464,188320.509391978,4526.39857570179,1453.74640940117,14093.4374342185,22,38
"10","Nanyumbu",5176,5164,150857,162049.81588616,3882.88128405165,1247.16213068252,12088.8589343133,17,34
"11","Newala",1944,1944,205492,220738.452747163,5080.33066257505,1631.18751067904,15822.6810051752,24,19
"12","Ruangwa",2492,2492,131080,138319.506293149,3287.5834934529,1055.76874873392,10237.284669948,18,18
"13","Tandahimba",2040,2036,227514,244394.372230151,7628.84292459897,2495.50628412039,23321.6180374066,31,38
"14","Ngorongoro",15528,12540,174278,204486.776556311,32905.2057138287,8406.16630921635,128804.56122814,368,37
"15","Pemba",1000,888,406848,437146.259873162,8213.46904921219,2657.85540670521,25383.5694016088,199,0
"16","Serengeti",11200,2700,249420,289250.732370659,25169.2448716459,7904.98153061365,80138.1869085399,3521,149
