"Date","Study.Area","Region","District","Ward","Village.2002","Village","Location.Source","Kitongoji","Latitude","Longitude","UTM.Easting","UTM.Northing","District.1","Village.1","Biter.ID","ID","Uncertainty","Species","Other.species","Owner","Suspect","Vaccination","Date.bitten.known","Date.bitten","Date.bitten.uncertainty","Known.bites","Symptoms.started.known","Symptoms.started","Symptoms.started.accuracy","Date_proxy","Year","month_n"
"25-Feb-2016","STz","Mtwara","Mtwara","Mbawala",NA,NA,"GPS Receiver","Mbawala Chini",NA,NA,NA,NA,"Mtwara Rural",NA,0,5,"","Domestic dog",NA,"Known","Yes","Not vaccinated","false",NA,"",NA,"true","2016-01-30","0","2016-01-30",2016,61
"25-Feb-2016","STz","Mtwara","Mtwara","Chuno",NA,NA,"GPS Receiver","Ligula C",NA,NA,NA,NA,"Mtwara Urban",NA,0,2,"","Domestic dog",NA,"Known","Yes","Not vaccinated","false",NA,"",NA,"true","2014-04-11","+/- 7 days","2014-04-11",2014,40
"25-Feb-2016","STz","Mtwara","Mtwara","Mitengo",NA,NA,"GPS Receiver","Kilimahewa",NA,NA,NA,NA,"Mtwara Urban",NA,0,3,"","Domestic dog",NA,"Unknown","Yes","Unknown","false",NA,"",NA,"true","2012-12-12","+/- 7 days","2012-12-12",2012,24
"25-Feb-2016","STz","Mtwara","Mtwara","Likombe",NA,NA,"GPS Receiver","Mtepwezi",NA,NA,NA,NA,"Mtwara Urban",NA,0,6,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2013-02-16","+/- 7 days","2013-02-16",2013,26
"04-Aug-2017","STz","Mtwara","Mtwara","Likombe",NA,NA,"Manually Entered","Namayanga",NA,NA,NA,NA,"Mtwara Urban",NA,0,7,"at home","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2013-02-19","+/- 7 days","2013-02-19",2013,26
"04-Aug-2017","STz","Mtwara","Mtwara","Shangani",NA,NA,"GPS Receiver","Kiyangu",NA,NA,NA,NA,"Mtwara Urban",NA,0,4,"nearby","Domestic dog",NA,"Unknown","Yes","Unknown","false",NA,"",NA,"true","2014-08-25","+/- 7 days","2014-08-25",2014,44
"04-Aug-2017","STz","Mtwara","Mtwara","Naliendele",NA,NA,"GPS Receiver","Pwani A",NA,NA,NA,NA,"Mtwara Urban",NA,0,1,"nearby","Domestic dog",NA,"Unknown","Yes","Unknown","false",NA,"",NA,"true","2013-01-10","+/- 7 days","2013-01-10",2013,25
"05-Apr-2016","STz","Mtwara","Mtwara","Jangwani",NA,NA,"Manually Entered","Rwelu",NA,NA,NA,NA,"Mtwara Urban",NA,0,9,"","Cat",NA,"Known","Yes","Not vaccinated","false",NA,"",NA,"true","2014-06-05","0","2014-06-05",2014,42
"05-Apr-2016","STz","Mtwara","Mtwara","Mayanga",NA,NA,"Manually Entered","Dimbuzi",NA,NA,NA,NA,"Mtwara Urban",NA,0,8,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2014-05-19","+/- 7 days","2014-05-19",2014,41
"05-Apr-2016","STz","Mtwara","Mtwara","Kitere",NA,NA,"GPS Receiver","Namalundi",NA,NA,NA,NA,"Mtwara Rural",NA,0,11,"","Domestic dog",NA,"Known","Yes","Not vaccinated","false",NA,"",NA,"true","2013-03-15","+/- 7 days","2013-03-15",2013,27
"05-Apr-2016","STz","Mtwara","Mtwara","Mpapura",NA,NA,"GPS Receiver","Sokoni",NA,NA,NA,NA,"Mtwara Rural",NA,0,10,"nearby","Domestic dog",NA,"Unknown","Yes","Unknown","false",NA,"",NA,"true","2015-11-25","+/- 7 days","2015-11-25",2015,59
"05-Apr-2016","STz","Mtwara","Mtwara","Kitere",NA,NA,"GPS Receiver","Mkunguni",NA,NA,NA,NA,"Mtwara Rural",NA,0,12,"","Domestic dog",NA,"Known","Yes","Not vaccinated","false",NA,"",NA,"true","2011-08-11","+/- 7 days","2011-08-11",2011,8
"10-Sep-2016","STz","Mtwara","Mtwara","Kitere",NA,NA,"GPS Receiver","Amboni",NA,NA,NA,NA,"Mtwara Rural",NA,0,13,"","Domestic dog",NA,"Known","Yes","Not vaccinated","false",NA,"",NA,"true","2011-12-12","+/- 7 days","2011-12-12",2011,12
"05-Apr-2016","STz","Mtwara","Mtwara","Kitere",NA,NA,"GPS Receiver","Mashineni",NA,NA,NA,NA,"Mtwara Rural",NA,0,14,"on the farm","Domestic dog",NA,"Unknown","Yes","Unknown","false",NA,"",NA,"true","2011-11-11","+/- 7 days","2011-11-11",2011,11
"05-Apr-2016","STz","Mtwara","Mtwara","Kitere",NA,NA,"GPS Receiver","Kiwanjani",NA,NA,NA,NA,"Mtwara Rural",NA,0,15,"at home","Domestic dog",NA,"Unknown","Yes","Unknown","false",NA,"",NA,"true","2012-04-10","+/- 7 days","2012-04-10",2012,16
"05-Apr-2016","STz","Mtwara","Mtwara","Kitere",NA,NA,"GPS Receiver","Namanjazi",NA,NA,NA,NA,"Mtwara Rural",NA,0,16,"on the farm","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2011-07-29","+/- 7 days","2011-07-29",2011,7
"07-Aug-2017","STz","Mtwara","Mtwara","Kitere",NA,NA,"GPS Receiver","Hospitali",NA,NA,NA,NA,"Mtwara Rural",NA,0,17,"far away","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2011-09-11","+/- 7 days","2011-09-11",2011,9
"05-Apr-2016","STz","Mtwara","Mtwara","Ndumbwe",NA,NA,"GPS Receiver","Mtumbikile",NA,NA,NA,NA,"Mtwara Rural",NA,0,20,"nearby","Domestic dog",NA,"Unknown","Yes","Unknown","false",NA,"",NA,"true","2012-10-18","+/- 7 days","2012-10-18",2012,22
